"Observer","Date","Year","TimeInitial","TimeFinal","TransectNumber","Site","Location","Country","Zone","DepthInitial_m","DepthFinal_m","DepthMax_m","MidTransDepth_m","Latitude","Longitude","Temperature_C","Visibility_m","Genusspecies","TotalCounts","Distance","ExtrapolationValue","Status"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Centrostephanuscoronatus",0,NA,NA,"NoConcession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Echinometravanbrunti",0,NA,NA,"NoConcession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Eucidaristhouarsii",12,NA,NA,"NoConcession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Haliotiscorrugata",0,NA,NA,"Concession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Haliotiscracherodii",0,NA,NA,"Concession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Haliotisfulgens",2,NA,NA,"Concession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Haliotisrufescens",0,NA,NA,"Concession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Haliotissorenseni",0,NA,NA,"Concession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Hexaplexprinceps",2,NA,NA,"NoConcession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Isostichopusfuscus",0,NA,NA,"NoConcession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Isostichopusfuscus",0,NA,NA,"NoConcession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Megastraeaturbanica",0,NA,NA,"Concession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Megastraeaundosa",0,NA,NA,"Concession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Muriceacalifornica",0,NA,NA,"NoConcession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Octopusbimaculatus",0,NA,NA,"Concession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Octopusrubescens",0,NA,NA,"Concession"
"Roguer Romero","10/8/12","2012","10:08","10:14","1","IslaMagdalena","PuntaBlanca","Mexico","Reserve","18.4","19","19","18.7","24.65232","-112.18105","24","","Octopussp",0,NA,NA,"Concession"
