"Observer","Date","Year","TimeInitial","TimeFinal","TransectNumber","Site","Location","Country","Zone","DepthInitial_m","DepthFinal_m","DepthMax_m","MidTransDepth_m","Latitude","Longitude","Temperature_C","Visibility_m","Genusspecies","TotalCounts","Distance","ExtrapolationValue","Status"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Anemonesp",0,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Cancersp",0,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Centrostephanuscoronatus",2,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Crassedomagiganteum",0,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Cypraeaspadicea",0,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Haliotiscorrugata",0,NA,NA,"Concession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Haliotiscracherodii",0,NA,NA,"Concession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Haliotisfulgens",0,NA,NA,"Concession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Haliotisrufescens",0,NA,NA,"Concession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Haliotissorenseni",0,NA,NA,"Concession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Kelletiakelletii",0,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Lophogorgiachilensis",0,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Loxorhyncusgrandis",0,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Megastraeaturbanica",8,NA,NA,"Concession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Megastraeaundosa",50,27,55.55555556,"Concession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Megathuracrenulata",1,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Mesocentrotusfranciscanus",0,NA,NA,"Concession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Muriceasp",0,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Octopussp",0,NA,NA,"Concession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Panulirusinterruptus",0,NA,NA,"Concession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Parastichopusparvimensis",1,NA,NA,"Concession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Patiriaminiata",0,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Pisastergiganteus",0,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Strongylocentrotuspurpuratus",0,NA,NA,"NoConcession"
"Ulises Yepiz","7/28/14","2014","10:10","10:17"," 1","IslaNatividad","Babencho","Mexico","Fished","14.3","14.8","14.8","14.55","27.25753","-115.1152","20"," 6","Sunstarsp",0,NA,NA,"NoConcession"
"Esmeralda Albanez","7/28/14","2014","10:50","10:58"," 2","IslaNatividad","Babencho","Mexico","Fished","14.4","15.3","15.3","14.85","27.51753","-115.1152","20"," 6","Anemonesp",0,NA,NA,"NoConcession"
"Esmeralda Albanez","7/28/14","2014","10:50","10:58"," 2","IslaNatividad","Babencho","Mexico","Fished","14.4","15.3","15.3","14.85","27.51753","-115.1152","20"," 6","Cancersp",0,NA,NA,"NoConcession"
"Esmeralda Albanez","7/28/14","2014","10:50","10:58"," 2","IslaNatividad","Babencho","Mexico","Fished","14.4","15.3","15.3","14.85","27.51753","-115.1152","20"," 6","Centrostephanuscoronatus",3,NA,NA,"NoConcession"
"Esmeralda Albanez","7/28/14","2014","10:50","10:58"," 2","IslaNatividad","Babencho","Mexico","Fished","14.4","15.3","15.3","14.85","27.51753","-115.1152","20"," 6","Crassedomagiganteum",0,NA,NA,"NoConcession"
"Esmeralda Albanez","7/28/14","2014","10:50","10:58"," 2","IslaNatividad","Babencho","Mexico","Fished","14.4","15.3","15.3","14.85","27.51753","-115.1152","20"," 6","Cypraeaspadicea",0,NA,NA,"NoConcession"
"Esmeralda Albanez","7/28/14","2014","10:50","10:58"," 2","IslaNatividad","Babencho","Mexico","Fished","14.4","15.3","15.3","14.85","27.51753","-115.1152","20"," 6","Haliotiscorrugata",0,NA,NA,"Concession"
"Esmeralda Albanez","7/28/14","2014","10:50","10:58"," 2","IslaNatividad","Babencho","Mexico","Fished","14.4","15.3","15.3","14.85","27.51753","-115.1152","20"," 6","Haliotiscracherodii",0,NA,NA,"Concession"
"Esmeralda Albanez","7/28/14","2014","10:50","10:58"," 2","IslaNatividad","Babencho","Mexico","Fished","14.4","15.3","15.3","14.85","27.51753","-115.1152","20"," 6","Haliotisfulgens",0,NA,NA,"Concession"
"Esmeralda Albanez","7/28/14","2014","10:50","10:58"," 2","IslaNatividad","Babencho","Mexico","Fished","14.4","15.3","15.3","14.85","27.51753","-115.1152","20"," 6","Haliotisrufescens",0,NA,NA,"Concession"
"Esmeralda Albanez","7/28/14","2014","10:50","10:58"," 2","IslaNatividad","Babencho","Mexico","Fished","14.4","15.3","15.3","14.85","27.51753","-115.1152","20"," 6","Haliotissorenseni",0,NA,NA,"Concession"
"Esmeralda Albanez","7/28/14","2014","10:50","10:58"," 2","IslaNatividad","Babencho","Mexico","Fished","14.4","15.3","15.3","14.85","27.51753","-115.1152","20"," 6","Kelletiakelletii",0,NA,NA,"NoConcession"
"Esmeralda Albanez","7/28/14","2014","10:50","10:58"," 2","IslaNatividad","Babencho","Mexico","Fished","14.4","15.3","15.3","14.85","27.51753","-115.1152","20"," 6","Lophogorgiachilensis",0,NA,NA,"NoConcession"
