"Observer","Date","Year","TimeInitial","TimeFinal","TransectNumber","Location","Site","Zone","Country","DepthInitial_m","DepthFinal_m","DepthMax_m","MidTransDepth_m","Latitude","Longitude","Temperature_C","Visibility_m","Genusspecies","SizeClass","SexClass","SpeciesPresOutTrans","Present"
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Anisotremusdavidsoni",NA,NA,NA,0
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Caulolatilusprinceps",NA,NA,NA,0
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","12","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","12","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","12","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","9","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","9","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
"Ulises Yepiz","7/28/14","2014","9:01","9:07"," 1","Babencho","IslaNatividad","Fished","Mexico","14.3","14.8","14.8","14.6","27.51753","-115.1152","22"," 6","Chromispunctipinnis","7","",NA,1
