codigo,observador,fecha,A–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),A,G,B,R,O,0,1,2,3,N,C,OC,V,R,CO,L,I,G,P,Total sustrato,Total relieve,Total Cobertura
IMPUSO-261110-RR-2-1-PCU,Roguer Romero,11/26/10,2010,11:50,12:01,0:11,2,2,1,1,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,44.88,13.6,39.93,12.1,44.88,13.6,42.41,12.85,24.6513,-112.17654,n/d,n/d,n/d,0,0,0,30,0,24,6,0,0,0,3,0,0,14,0,13,0,0,0,30,30,30
IMPUSO-261110-OM-2-2-PCU,Omar Rangel,11/26/10,2010,12:01,12:16,0:15,2,2,2,2,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,39.6,12,42.9,13,42.9,13,41.25,12.5,24.6513,-112.17654,n/d,n/d,6,0,0,1,29,0,0,29,1,0,0,0,0,0,16,7,7,0,0,0,30,30,30
IMPUSO-261110-CR-2-3-PCU,Cipriano Romero,11/26/10,2010,12:18,12:27,0:09,2,2,3,3,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,36.3,11,33,10,36.3,11,34.65,10.5,24.6513,-112.17654,n/d,n/d,5,6,0,12,12,0,8,16,6,0,7,3,0,0,4,0,13,0,0,3,30,30,30
IMPUSO-261110-ML-2-4-PCU,Mary Luna,11/26/10,2010,12:10,12:21,0:11,2,2,4,4,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,32.01,9.7,33,10,33,10,32.51,9.85,24.6593,-112.17776,n/d,n/d,6,1,0,0,28,1,0,25,5,0,3,1,3,0,8,3,12,0,0,0,30,30,30
IMPUSO-261110-MW-2-5-PCU,Megan Wehrenberg,11/26/10,2010,12:10,12:18,0:08,2,2,5,5,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,34.32,10.4,37.29,11.3,37.29,11.3,35.81,10.85,24.6593,-112.17776,n/d,n/d,6,5,0,0,25,0,1,20,7,2,7,1,1,0,10,6,1,4,0,0,30,30,30
IMPUSO-261110-AH-2-6-PCU,Arturo Hernandez,11/26/10,2010,12:36,12:42,0:06,2,2,6,6,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,31.35,9.5,27.39,8.3,31.35,9.5,29.37,8.9,24.6593,-112.17776,n/d,n/d,6,0,0,12,18,0,0,27,3,0,0,0,3,0,12,8,6,1,0,0,30,30,30
IMELPR-281110-AR-1-1-PCU,Alfonso Romero,11/28/10,2010,10:39,10:54,0:15,2,1,1,1,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,34.65,10.5,38.61,11.7,38.61,11.7,36.63,11.1,24.66164,-112.17349,n/d,n/d,6,1,0,0,29,0,0,27,3,0,1,0,0,0,18,1,10,0,0,0,30,30,30
IMELPR-281110-AH-1-2-PCU,Arturo Hernandez,11/28/10,2010,10:41,10:47,0:06,2,1,2,2,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,29.7,9,34.32,10.4,34.32,10.4,32.01,9.7,24.66164,-112.17349,62.6,17,6,0,0,9,21,0,0,27,3,0,0,0,0,0,17,4,8,1,0,0,30,30,30
IMELPR-281110-AH-1-3-PCU,Arturo Hernandez,11/28/10,2010,10:41,10:52,0:11,2,1,3,3,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,31.68,9.6,35.97,10.9,35.97,10.9,33.83,10.25,24.66179,-112.17228,n/d,n/d,6,0,1,14,15,0,0,27,3,0,0,1,0,0,20,2,6,1,0,0,30,30,30
IMELPR-281110-RR-1-4-PCU,Roguer Romero,11/28/10,2010,10:35,10:46,0:11,2,1,4,4,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,24.42,7.4,29.37,8.9,29.37,8.9,26.9,8.15,24.66179,-112.17228,n/d,n/d,5,0,0,0,30,0,0,20,9,1,0,0,0,0,22,0,8,0,0,0,30,30,30
