coDAgo,observador,fecha,a–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),especie,abundancia,# guias,Distancia,Observaciones,Extrapolaci—n
IMPUSO-261110-NV-2-1-DA,Norberto Velez,11/26/10,2010,12:06,12:12,0:06,2,2,1,1,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,44.88,13.6,39.93,12.1,44.88,13.6,42.41,12.85,24.6513,-112.17654,n/d,n/d,n/d,Colifor,57,n/a,n/a,,
IMPUSO-261110-RR-2-2-DA,Raul Romero,11/26/10,2010,12:00,12:10,0:10,2,2,2,2,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,39.6,12,42.9,13,42.9,13,41.25,12.5,24.6513,-112.17654,n/d,n/d,6,Colifor,53,n/a,n/a,,
IMPUSO-261110-AR-2-3-DA,Alfonso Romero,11/26/10,2010,11:48,11:59,0:11,2,2,3,3,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,36.3,11,33,10,36.3,11,34.65,10.5,24.6513,-112.17654,n/d,n/d,5,Colifor,2,n/a,n/a,,
IMPUSO-261110-ML-2-4-DA,Mary Luna,11/26/10,2010,12:34,12:39,0:05,2,2,4,4,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,32.01,9.7,33,10,33,10,32.51,9.85,24.6593,-112.17776,n/d,n/d,6,Colifor,13,n/a,n/a,,
IMPUSO-261110-MW-2-5-DA,Megan Wehrenberg,11/26/10,2010,12:33,12:35,0:02,2,2,5,5,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,34.32,10.4,37.29,11.3,37.29,11.3,35.81,10.85,24.6593,-112.17776,n/d,n/d,6,Colifor,5,n/a,n/a,,
IMPUSO-261110-AH-2-6-DA,Arturo Hernandez,11/26/10,2010,12:30,12:36,0:06,2,2,6,6,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,31.35,9.5,27.39,8.3,31.35,9.5,29.37,8.9,24.6593,-112.17776,n/d,n/d,6,Colifor,22,n/a,n/a,,
IMELPR-281110-CR-1-1-DA,Cipriano Romero,11/28/10,2010,10:34,10:47,0:13,2,1,1,1,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,34.65,10.5,38.61,11.7,38.61,11.7,36.63,11.1,24.66164,-112.17349,n/d,n/d,6,Colifor,17,n/a,n/a,,
IMELPR-281110-RR-1-2-DA,Raul Romero,11/28/10,2010,10:35,10:40,0:05,2,1,2,2,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,29.7,9,34.32,10.4,34.32,10.4,32.01,9.7,24.66164,-112.17349,62.6,17,6,Colifor,9,n/a,n/a,,
IMELPR-281110-AH-1-3-DA,Arturo Hernandez,11/28/10,2010,11:10,11:18,0:08,2,1,3,3,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,31.68,9.6,35.97,10.9,35.97,10.9,33.83,10.25,24.66179,-112.17228,n/d,n/d,6,Colifor,18,n/a,n/a,,
IMELPR-281110-NV-1-4-DA,Norberto Velez,11/28/10,2010,10:40,10:42,0:02,2,1,4,4,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,24.42,7.4,29.37,8.9,29.37,8.9,26.9,8.15,24.66179,-112.17228,n/d,n/d,6,Colifor,19,n/a,n/a,,
IMELPR-281110-ML-1-5-DA,Mary Luna,11/28/10,2010,10:27,10:30,0:03,2,1,5,5,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,30.69,9.3,25.41,7.7,30.69,9.3,28.05,8.5,24.66187,-112.17224,n/d,n/d,8,Colifor,1,n/a,n/a,,
IMELPR-281110-MW-1-6-DA,Megan Wehrenberg,11/28/10,2010,10:32,10:37,0:05,2,1,6,6,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,26.07,7.9,23.1,7,26.07,7.9,24.59,7.45,24.66187,-112.17224,n/d,n/d,8,n/d,0,n/a,n/a,,
IMELPR-281110-CR-2-7-DA,Cipriano Romero,11/28/10,2010,12:32,12:38,0:06,2,2,7,7,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,28.05,8.5,25.41,7.7,28.05,8.5,26.73,8.1,24.66181,-112.17298,n/d,n/d,8,Colifor,15,n/a,n/a,,
