C—digo,observador,fecha,a–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),especie,abundancia,# guias,Distancia,Observaciones,Extrapolaci—n
ELABO-081011-NV-1-1-DA,Norberto Velez,10/8/11,2011,10:00,10:03,0:03,2,1,1,1,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.72325,112.1058,,,,Colifor,50,,4,,375
ELABO-081011-RR-1-2-DA,Roguer Romero,10/8/11,2011,11:10,11:23,0:13,2,2,2,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,50,,4,,375
ELABO-081011-GH-1-3-DA,Gustavo Hinojosa,10/8/11,2011,11:50,11:54,0:04,2,2,3,3,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,50,,9,No se observaron algas invasivas,167
ELABO-081011-GH-1-4-DA,Gustavo Hinojosa,10/8/11,2011,10:33,10:39,0:06,2,1,4,4,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,50,,5,No se observaron algas invasivas,300
ELABO-081011-RR-1-5-DA,Raul Romero,10/8/11,2011,9:48,9:50,0:02,2,1,5,5,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57407,111.10578,,,,Colifor,50,,3,No se observaron algas invasivas,500
ELABO-081011-RR-1-6-DA,Raul Romero,10/8/11,2011,10:08,10:11,0:03,2,1,6,6,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57419,112.10616,,,,Colifor,50,,6,No se observaron algas invasivas,250
ELABO-081011-AR-1-7-DA,Alfonso Romero,10/8/11,2011,9:45,9:48,0:03,2,1,7,7,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,50,,5,,300
ELABO-081011-AR-1-8-DA,Alfonso Romero,10/8/11,2011,11:10,11:13,0:03,2,2,8,8,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,50,,26,,58
ELABO-081011-CR-1-9-DA,Cipriano Romero,10/8/11,2011,10:22,10:27,0:05,2,1,9,9,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57407,111.10578,,,,Colifor,50,,16,No se observaron algas invasivas,94
ELABO-111011-NV-1-10-DA,Norberto Velez,10/11/11,2011,10:48,10:49,0:01,2,1,10,10,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56898,112.10366,,,,Colifor,50,,3,No se observaron algas invasivas,500
ELABO-131011-OR-1-11-DA,Omar Rangel,10/13/11,2011,10:25,10:28,0:03,2,1,11,11,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56984,112.1047,,,,Colifor,50,,3,No se observaron algas invasivas,500
ELABO-131011-RR-1-12-DA,Raul Romero,10/13/11,2011,10:21,10:27,0:06,2,1,12,12,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56984,112.1047,,,,Colifor,50,,5,No se observaron algas invasivas,300
