codigo,observador,fecha,a–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,zona,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),especie,talla,sexo/categoria,direcci—n,comentarios,nt,biomasa
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,3,,,,3.4,0.4385
