codigo,observador,fecha,a–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),Direccion,especie,talla,presence,Sexo,Comentarios
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Bodianus diplotaenia,20,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Bodianus diplotaenia,20,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Bodianus diplotaenia,20,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Bodianus diplotaenia,30,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Bodianus diplotaenia,30,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Bodianus diplotaenia,30,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Bodianus diplotaenia,30,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Calamus brachysomus,35,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Calamus brachysomus,35,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Chaetodon humeralis,10,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Chaetodon humeralis,10,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Chromis atrilobata,3,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Chromis atrilobata,3,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Chromis atrilobata,3,1,n/a,
PUBLAGA-101114-AH-1-1-CP,Arturo Hern‡ndez,11/10/14,2014,3:30,3:45,0:15,2,2,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,50.0,15.2,47.0,14.2,50.0,15.2,48.5,14.7,24.66355,-112.18240,77.0,25.0,13.0,n/a,Chromis atrilobata,3,1,n/a,
