Código,observador,fecha,año,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (°F),temperatura (°C),visibilidad (m),especie,abundancia,Distancia,Direccion,Comentarios
ELABO-181011-RR-1-1-INV,Roguer Romero,10/18/11,2011,11:07,11:15,0:08,,,,1,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57453,112.1062,,,,Abulon azul,11,,,
ELABO-181011-RR-1-1-INV,Roguer Romero,10/18/11,2011,11:07,11:15,0:08,,,,1,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57453,112.1062,,,,Caracol chino,2,,,
ELABO-181011-RR-1-1-INV,Roguer Romero,10/18/11,2011,11:07,11:15,0:08,,,,1,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57453,112.1062,,,,Erizo punta de lapiz,2,,,
ELABO-081011-NV-1-2-INV,Norberto Velez,10/8/11,2011,9:47,9:50,0:03,,,,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.72315,112.1058,,,,Langosta roja,2,,,
ELABO-081011-NV-1-2-INV,Norberto Velez,10/8/11,2011,9:47,9:50,0:03,,,,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.72315,112.1058,,,,Caracol chino,1,,,
ELABO-081011-NV-1-2-INV,Norberto Velez,10/8/11,2011,9:47,9:50,0:03,,,,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.72315,112.1058,,,,Erizo punta de lapiz,4,,,
ELABO-081011-NV-1-2-INV,Norberto Velez,10/8/11,2011,9:47,9:50,0:03,,,,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.72315,112.1058,,,,Erizo espinudo,2,,,
ELABO-081011-NV-1-2-INV,Norberto Velez,10/8/11,2011,9:47,9:50,0:03,,,,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.72315,112.1058,,,,Estrella común,1,,,
ELABO-081011-GH-1-3-INV,Gustavo Hinojosa,10/8/11,2011,11:36,11:41,0:05,,,,3,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57453,112.1062,,,,,0,,,
ELABO-081011-GH-1-4-INV,Gustavo Hinojosa,10/8/11,2011,10:15,10:21,0:06,,,,4,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.77375,112.1058,,,,Langosta roja,1,,,
ELABO-081011-GH-1-4-INV,Gustavo Hinojosa,10/8/11,2011,10:15,10:21,0:06,,,,4,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.77375,112.1058,,,,Caracol chino,1,,,
