codigo,observador,fecha,A–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),direcci—n,A,G,B,R,O,0,1,2,3,N,C,OC,V,R,CO,L,IS,IM,G,PASTO,Total sustrato,Total relieve,Total Cobertura
INRBA-300712-AM-1-1-PCU,Abraham Mayoral,7/30/12,2012,9:04,9:14,0:10,2,1,1,1,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,48.18,14.6,44.55,13.5,48.18,14.6,46.365,13.92342342,27.86171,-115.19368,55,13,6,30,1,4,5,20,0,0,23,7,0,1,0,0,0,0,4,8,12,1,4,0,30,30,30
INREBA-300712-AM-2-1-PCU,Abraham Mayoral,7/30/12,2012,10:29,10:37,0:08,2,2,2,2,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,48.18,14.6,44.55,13.5,48.18,14.6,46.365,13.92342342,27.86171,-115.19368,59,15,5.3,240,0,7,10,13,0,0,30,0,0,0,2,0,0,5,4,9,9,1,0,0,30,30,30
INREBA-300712-AG-1-1-PCU,Alonso Grosso,7/30/12,2012,8:58,9:08,0:10,2,1,3,3,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,47.19,14.3,57.09,17.3,57.09,17.3,57.09,17.14414414,27.86171,-115.19368,57,14,6,150,0,0,0,30,0,0,28,2,0,5,1,0,0,0,3,4,16,0,1,0,30,30,30
INREBA-300712-AG-2-1-PCU,Alonso Grosso,7/30/12,2012,10:25,10:34,0:09,2,2,4,4,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,47.19,14.3,57.09,17.3,57.09,17.3,57.09,17.14414414,27.86428,-115.18803,57,14,5.8,90,0,0,0,30,0,0,25,5,0,0,1,0,0,5,4,5,10,0,5,0,30,30,30
INREBA-300712-AH-1-1-PCU,Arturo Hernandez,7/30/12,2012,9:05,9:10,0:05,2,1,5,5,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,55.11,16.7,47.19,14.3,55.11,16.7,51.15,15.36036036,27.86223,-115.19441,57,14,9,60,0,0,2,27,1,0,24,6,0,0,2,0,0,0,7,12,1,0,8,0,30,30,30
INREBA-300712-AH-2-1-PCU,Arturo Hernandez,7/30/12,2012,10:33,10:40,0:07,2,2,6,6,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,55.11,16.7,47.19,14.3,55.11,16.7,51.15,15.36036036,27.86223,-115.19441,59,15,7,210,1,3,4,22,0,0,26,4,0,2,3,0,0,2,6,7,8,1,1,0,30,30,30
INREBA-300712-JC-1-1-PCU,Jhonatan Castro,7/30/12,2012,9:27,9:35,0:08,2,1,7,7,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,55.11,16.7,47.19,14.3,55.11,16.7,51.15,15.36036036,27.86223,-115.19441,57,14,7,240,0,1,1,28,0,0,27,3,0,0,1,1,0,7,4,3,9,2,3,0,30,30,30
INREBA-300712-JC-2-1-PCU,Jhonatan Castro,7/30/12,2012,10:21,10:27,0:06,2,2,8,8,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,55.11,16.7,47.19,14.3,55.11,16.7,51.15,15.36036036,27.86223,-115.19441,57,14,7,90,1,1,1,27,0,0,23,7,0,2,4,0,0,11,6,0,2,4,1,0,30,30,30
INREBA-300712-SM-1-1-PCU,Sergio Mendoza,7/30/12,2012,9:01,9:13,0:12,2,1,9,9,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,50.82,15.4,47.52,14.4,50.82,15.4,49.17,14.76576577,27.86171,-115.19368,57,14,5,30,2,5,11,12,0,3,26,1,0,8,2,0,0,0,4,11,5,0,0,0,30,30,30
INREBA-300712-SM-2-1-PCU,Sergio Mendoza,7/30/12,2012,10:34,10:45,0:11,2,2,10,10,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,50.82,15.4,47.52,14.4,50.82,15.4,49.17,14.76576577,27.86171,-115.19368,59,15,6,300,2,7,5,15,1,2,19,9,0,12,0,0,0,3,3,10,2,0,0,0,30,30,30
INREBA-310712-AM-1-1-PCU,Abraham Mayoral,7/31/12,2012,9:02,9:07,0:05,2,1,1,1,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,46.53,14.1,51.81,15.7,51.81,15.7,51.81,15.55855856,27.85368,-115.17001,57.2,14,4.9,0,0,8,4,18,0,0,28,2,0,0,1,0,0,3,2,11,12,0,1,0,30,30,30
INREBA-310712-AG-1-1-PCU,Alonso Grosso,7/31/12,2012,8:58,9:06,0:08,2,1,2,2,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,52.8,16,48.51,14.7,52.8,16,50.655,15.21171171,27.85368,-115.17001,57,14,4.9,180,1,1,5,23,0,0,30,0,0,0,0,0,0,6,4,8,10,1,1,0,30,30,30
INREBA-310712-AH-1-1-PCU,Arturo Hernandez,7/31/12,2012,9:05,9:11,0:06,2,1,3,3,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,48.84,14.8,51.15,15.5,51.15,15.5,51.15,15.36036036,27.8637,-115.19164,59,15,7,120,0,8,10,12,0,18,12,0,0,0,1,0,0,5,1,20,3,0,0,0,30,30,30
INREBA-310712-AH-2-1-PCU,Arturo Hernandez,7/31/12,2012,9:20,9:27,0:07,2,2,4,4,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,51.15,15.5,48.84,14.8,48.84,14.8,48.84,14.66666667,27.8637,-115.19164,59,15,7,120,0,1,8,21,0,6,24,0,0,0,2,0,0,4,8,12,4,0,0,0,30,30,30
INREBA-310712-JC-1-1-PCU,Jhonatan Castro,7/31/12,2012,9:21,9:27,0:06,2,1,5,5,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,51.81,15.7,52.8,16,52.8,16,52.8,15.85585586,27.8637,-115.19164,59,15,5,300,0,4,12,13,1,0,30,0,0,0,1,1,0,5,3,18,2,0,0,0,30,30,30
INREBA-310712-SM-2-1-PCU,Sergio Mendoza,7/31/12,2012,9:03,9:11,0:08,2,1,6,6,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,51.81,15.7,52.8,16,52.8,16,52.8,15.85585586,27.8637,-115.19164,59,15,7,150,3,11,6,10,0,3,27,0,0,7,2,0,0,0,3,17,1,0,0,0,30,30,30
INLAPL-310712-AM-1-1-PCU,Abraham Mayoral,7/31/12,2012,10:41,10:49,0:08,2,1,1,1,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,32.34,9.8,27.06,8.2,32.34,9.8,29.7,8.918918919,27.84907,-115.17152,57,14,5,240,2,4,8,16,0,0,30,0,0,2,2,4,0,0,10,7,4,1,0,0,30,30,30
INLAPL-310712-AH-1-1-PCU,Arturo Hernandez,7/31/12,2012,10:40,10:46,0:06,2,1,2,2,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,24.42,7.4,27.39,8.3,27.39,8.3,27.39,8.225225225,27.84907,-115.17152,57,14,5,60,0,1,12,17,0,0,30,0,0,0,1,4,0,1,8,15,0,1,0,0,30,30,30
INLAPL-310712-AH-2-1-PCU,Arturo Hernandez,7/31/12,2012,10:58,11:05,0:07,2,2,3,3,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,22.77,6.9,26.4,8,26.4,8,26.4,7.927927928,27.84907,-115.17152,57,14,5,60,0,3,7,20,0,1,29,0,0,0,1,4,0,0,9,12,3,1,0,0,30,30,30
INLAPL-310712-JC-1-1-PCU,Jhonatan Castro,7/31/12,2012,10:23,10:29,0:06,2,1,4,4,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,27.72,8.4,28.38,8.6,28.38,8.6,28.38,8.522522523,27.84855,-115.17216,57,14,8,240,0,4,7,19,0,0,25,5,0,0,0,1,0,1,10,15,1,2,0,0,30,30,30
INLAPL-310712-SM-1-1-PCU,Sergio Mendoza,7/31/12,2012,10:36,10:41,0:05,2,1,5,5,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,27.72,8.4,28.38,8.6,28.38,8.6,28.38,8.522522523,27.84855,-115.17216,57,14,5,30,1,4,14,11,0,1,28,1,0,2,2,0,0,0,8,17,0,1,0,0,30,30,30
