codigo,observador,fecha,A–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),A,G,B,R,O,0,1,2,3,N,C,OC,V,R,CO,L,IS,IM,G,RO,Total sustrato,Total relieve,Total Cobertura,direcci—n,Pasto
INREBA-280714-UY-1-1-PCU,Ulises Yepiz,7/28/14,2014,10:18,10:27,0:09,2,1,1,1,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,47.19,14.3,48.84,14.8,48.84,14.8,48.02,14.55,27.25753,-115.11524,68,20,6.7,0,4,11,15,0,0,30,0,0,0,0,4,0,8,0,10,1,4,3,0,30,30,30,300,
INREBA-280714-AH-1-2-PCU,Arturo Hernandez,7/28/14,2014,10:55,11:03,0:08,2,1,2,2,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,46.53,14.1,47.85,14.5,47.85,14.5,47.19,14.3,27.85729,-115.18707,68,20,7,0,0,8,22,0,0,23,7,0,1,1,3,0,1,6,6,8,1,3,0,30,30,30,300,
INREBA-280714-SG-1-3-PCU,Sulema Garcia,7/28/14,2014,11:02,11:07,0:05,2,1,3,3,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,45.87,13.9,52.47,15.9,52.47,15.9,49.17,14.9,27.85729,-115.18707,68,20,7,0,9,6,15,0,1,27,2,0,0,1,0,0,0,4,15,8,1,1,0,30,30,30,120,
INREBA-280714-EC-1-4-PCU,Elsa Cuellar,7/28/14,2014,11:24,11:34,0:10,2,1,4,4,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,57.09,17.3,51.48,15.6,57.09,17.3,54.29,16.45,27.51761,-115.11468,68,20,7.4,11,4,13,2,0,0,30,0,0,14,1,2,0,0,4,9,0,0,0,0,30,30,30,90,
INREBA-280714-PE-1-5-PCU,Philip Ericsson,7/28/14,2014,11:20,11:26,0:06,2,1,5,5,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,52.80,16,53.79,16.3,53.79,16.3,53.30,16.15,27.51760,-115.11471,68,20,7.4,8,4,7,11,0,4,26,0,0,11,0,0,0,0,5,8,6,0,0,0,30,30,30,330,
INREBA-280714-ML-1-6-PCU,Mitzi Leal,7/28/14,2014,11:34,11:41,0:07,2,1,6,6,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,46.20,14,50.49,15.3,50.49,15.3,48.35,14.65,27.85806,-115.18693,68,20,6,4,9,7,10,0,0,26,4,0,6,0,0,0,3,5,12,2,2,0,0,30,30,30,300,
INREBA-280714-EL-1-7-PCU,Elba Lopez,7/28/14,2014,11:31,11:41,0:10,2,1,7,7,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,45.87,13.9,51.81,15.7,51.81,15.7,48.84,14.8,27.85806,-115.18693,68,20,6,3,5,13,9,0,0,30,0,0,3,1,0,0,0,13,13,0,0,0,0,30,30,30,120,
INREBA-280714-AM-1-8-PCU,Alonso Murillo,7/28/14,2014,12:22,12:32,0:10,2,1,8,8,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,33.96,10.29,34.09,10.33,34.09,10.33,34.02,10.31,27.85806,-115.18693,68,20,6,0,1,0,29,0,0,25,5,0,1,0,0,0,5,8,5,9,0,2,0,30,30,30,300,
INREBA-280714-UY-2-19-PCU,Ulises Yepiz,7/28/14,2014,12:17,12:27,0:10,2,2,9,9,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,21.12,6.4,31.68,9.6,31.68,9.6,26.40,8,27.51871,-115.11259,68,20,6.7,1,7,4,18,0,0,30,0,0,1,1,3,0,5,0,7,3,2,8,0,30,30,30,180,
INREBA-280714-EA-2-10-PCU,Esmeralda Alba–ez,7/28/14,2014,12:55,13:06,0:11,2,2,10,10,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,27.72,8.4,28.38,8.6,28.38,8.6,28.05,8.5,27.51871,-115.11259,68,20,6.7,1,0,5,24,0,1,19,2,8,0,0,5,0,3,16,4,1,0,1,0,30,30,30,0,
INREBA-280714-AH-2-11-PCU,Arturo Hernandez,7/28/14,2014,12:30,12:36,0:06,2,2,11,11,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,50.16,15.2,44.55,13.5,50.16,15.2,47.36,14.35,27.85729,-115.18707,68,20,3,5,0,5,20,0,5,19,6,0,7,0,0,0,3,3,11,6,0,0,0,30,30,30,300,
INREBA-280714-EC-2-12-PCU,Elsa Cuellar,7/28/14,2014,1:01,1:12,0:11,2,2,12,12,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,32.34,9.8,30.36,9.2,32.34,9.8,31.35,9.5,27.51848,-115.11217,68,20,6.2,11,0,8,11,0,5,23,2,0,9,1,1,0,7,7,4,1,0,0,0,30,30,30,90,
INREBA-280714-PE-2-13-PCU,Philip Ericsson,7/28/14,2014,1:17,1:28,0:11,2,2,13,13,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,34.98,10.6,28.71,8.7,34.98,10.6,31.85,9.65,27.51848,-115.11217,68,20,6.2,7,2,6,15,0,2,22,6,0,11,0,0,1,6,1,5,6,0,0,0,30,30,30,285,
INREBA-280714-EL-2-14-PCU,Elba Lopez,7/28/14,2014,1:27,1:37,0:10,2,2,14,14,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,46.20,14,33.00,10,46.2,14,39.60,12,27.85922,-115.18463,68,20,4,5,1,5,11,8,3,26,1,0,14,1,0,0,4,7,4,0,0,0,0,30,30,30,120,
INREBA-280714-AM-2-15-PCU,Alonso Murillo,7/28/14,2014,2:03,2:09,0:06,2,2,15,15,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,40.00,12.12,40.16,12.17,40.161,12.17,40.08,12.145,27.85922,-115.18463,68,20,4,8,0,4,18,0,8,20,2,0,9,2,0,0,0,4,3,8,4,0,0,30,30,30,150,
INREBA-020814-SG-3-16-PCU,Sulema Garcia,8/2/14,2014,12:18,12:32,0:14,2,3,16,16,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,31.02,9.4,31.02,9.4,31.02,9.4,31.02,9.4,27.86480,-115.18668,66.2,19,5,3,0,5,22,0,0,4,18,8,3,4,8,0,0,3,2,8,1,1,0,30,30,30,90,
