"Observer","Date","Month","Day","Year","TransectNumber","TimeInitial","TimeFinal","Location","Site","Zone","Country","DepthInitial","DepthFinal","DepthMax","MidTransDepth","Latitude","Longitude","Temperature","Visibility","Genusspecies","Abundance","NumberStipes","TransDistance","newdate"
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Eiseniaarborea",5,NA,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,8,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,3,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,1,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,8,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,5,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,3,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,4,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,4,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,3,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,6,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,2,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,1,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,3,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,2,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,1,"10:43","10:49","LaPlana","IslaNatividad","Reserve","Mexico",12.3,11.2,12.3,11.8,27.8484,-115.16056,NA,6,"Macrocystispyrifera",1,3,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,2,"13:58","14:03","LaPlana","IslaNatividad","Reserve","Mexico",5.4,4.9,5.4,5.2,27.85,-115.16391,NA,6,"Eiseniaarborea",21,NA,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,2,"13:58","14:03","LaPlana","IslaNatividad","Reserve","Mexico",5.4,4.9,5.4,5.2,27.85,-115.16391,NA,6,"Macrocystispyrifera",1,20,NA,2006-08-14
"AbrahamMayoral","8/14/06",8,14,2006,2,"13:58","14:03","LaPlana","IslaNatividad","Reserve","Mexico",5.4,4.9,5.4,5.2,27.85,-115.16391,NA,6,"Macrocystispyrifera",1,3,NA,2006-08-14
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Eiseniaarborea",35,NA,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,54,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,22,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,45,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,2,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,4,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,9,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,2,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,2,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,4,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,1,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,1,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,2,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,1,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,2,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,7,"10:01","10:09","LaPlana","IslaNatividad","Reserve","Mexico",12.5,9.9,12.5,11.2,27.84683,-115.16466,NA,8,"Macrocystispyrifera",1,1,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Eiseniaarborea",61,NA,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,18,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,2,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,2,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,4,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,3,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,3,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,21,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,2,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,13,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,15,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,36,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,1,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,8,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,35,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,8,"12:01","12:12","LaPlana","IslaNatividad","Reserve","Mexico",6,5.2,6,5.6,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,14,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Eiseniaarborea",75,NA,20,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,18,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,25,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,8,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,11,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,9,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,15,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,12,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,12,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,4,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,16,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,16,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,17,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,7,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,26,NA,2006-08-15
"AbrahamMayoral","8/15/06",8,15,2006,9,"12:34","12:50","LaPlana","IslaNatividad","Reserve","Mexico",5.7,3.8,5.7,4.8,27.84966,-115.16748,NA,4,"Macrocystispyrifera",1,9,NA,2006-08-15
