"Observer","Date","Year","TimeInitial","TimeFinal","DiveNumber_Transect","Country","Site","Location","Zone","DepthInitial_m","DepthFinal_m","DepthMax_m","Latitude","Longitude","Temperature_C","Visibility_m","Genusspecies","Patch","Diameter_cm","Abundance","Condition","Diameter_cm_Corrected"
"RobertoVazquez","8/4/14","2014","10:20","10:59","1","Mexico","IslaNatividad","MorroPrieto","Fished",12,9,12,"27.8833",-115.2146,"20",2,"Haliotisfulgens","0",NA,NA,NA,NA
"MitziLeal","8/4/14","2014","10:20","11:08","2","Mexico","IslaNatividad","MorroPrieto","Fished",16,17,17,"27.88234",-115.21454,"21",1,"Haliotisfulgens","0",NA,NA,NA,NA
"PhilipEricsson","8/4/14","2014","11:02","11:40","3","Mexico","IslaNatividad","MorroPrieto","Fished",11,10,11,"27.8833",-115.2146,"21",0,"Haliotisfulgens","0",NA,NA,NA,NA
"ElbaLopes","8/4/14","2014","12:20","13:00","4","Mexico","IslaNatividad","MorroPrieto","Fished",6,4,6,"27.88234",-115.21454,"21",6,"Haliotisfulgens","0",NA,NA,NA,NA
"SulemaGarcia","8/4/14","2014","12:20","13:00","5","Mexico","IslaNatividad","MorroPrieto","Fished",6,4,6,"27.89558",-115.20785,"21",1,"Haliotisfulgens","0",NA,NA,NA,NA
"EsmeraldaAlbanez","8/4/14","2014","10:35","11:06","6","Mexico","IslaNatividad","MorroPrieto","Fished",15,14,15,"27.88226",-115.21445,"19",2,"Haliotisfulgens","0",NA,NA,NA,NA
"AntoioPantoja","8/4/14","2014","10:35","11:06","7","Mexico","IslaNatividad","MorroPrieto","Fished",11,14,14,"27.88226",-115.21445,"19",2,"Haliotisfulgens","0",NA,NA,NA,NA
"ArturoHernandez","8/4/14","2014","11:00","11:30","8","Mexico","IslaNatividad","MorroPrieto","Fished",16,15,16,"27.88096",-115.21558,"21",6,"Haliotisfulgens","0",NA,NA,NA,NA
"ElsaCuellar","8/4/14","2014","11:24","12:02","9","Mexico","IslaNatividad","MorroPrieto","Fished",17,13,17,"27.88096",-115.21558,"21",6,"Haliotisfulgens","0",NA,NA,NA,NA
"JesusFlores","8/4/14","2014","11:06","11:36","10","Mexico","IslaNatividad","MorroPrieto","Fished",16,12,16,"27.8814",-115.21424,"18",7,"Haliotisfulgens","0",NA,NA,NA,NA
"UlisesYepiz","8/4/14","2014","11:06","11:43","11","Mexico","IslaNatividad","MorroPrieto","Fished",16,12,16,"27.8814",-115.21424,"20",7,"Haliotisfulgens","0",NA,NA,NA,NA
"EsmeraldaAlbanez","8/4/14","2014","12:28","13:09","1","Mexico","IslaNatividad","Anegados","Fished",9,7,9,"27.89506",-115.20742,"21",10,"Haliotisfulgens","1",18,"1",NA,14
"EsmeraldaAlbanez","8/4/14","2014","12:28","13:09","1","Mexico","IslaNatividad","Anegados","Fished",9,7,9,"27.89506",-115.20742,"21",10,"Haliotisfulgens","1",24,"1",NA,18
"ElsaCuellar","8/4/14","2014","13:00","13:41","2","Mexico","IslaNatividad","Anegados","Fished",8,7,8,"27.89506",-115.20742,"21",10,"Haliotisfulgens","0",NA,NA,NA,NA
"ArturoHernandez","8/4/14","2014","12:40","13:29","3","Mexico","IslaNatividad","Anegados","Fished",13,12,13,"27.897",-115.20629,"20",9,"Haliotisfulgens","0",NA,NA,NA,NA
"JesusFlores","8/4/14","2014","12:57","13:35","4","Mexico","IslaNatividad","Anegados","Fished",14,13,14,"27.897",-115.20629,"20",9,"Haliotisfulgens","0",NA,NA,NA,NA
"ElbaLopes","8/4/14","2014","12:20","10:20","5","Mexico","IslaNatividad","Anegados","Fished",6,4,6,"27.89558",-115.20785,"21",6,"Haliotisfulgens","0",NA,NA,NA,NA
"SulemaGarcia","8/4/14","2014","12:20","10:20","6","Mexico","IslaNatividad","Anegados","Fished",8,8,8,"27.8234",-115.21454,"21",7,"Haliotisfulgens","0",NA,NA,NA,NA
"MitziLeal","8/4/14","2014","12:20","13:00","7","Mexico","IslaNatividad","Anegados","Fished",8,6,8,"27.89558",-115.20785,"21",10,"Haliotisfulgens","0",NA,NA,NA,NA
"PhilipEricsson","8/4/14","2014","13:02","13:41","8","Mexico","IslaNatividad","Anegados","Fished",11,7,11,"27.89594",-115.20824,"21",8,"Haliotisfulgens","1",15,"1",NA,12
"RobertoVazquez","8/4/14","2014","12:31","13:15","9","Mexico","IslaNatividad","Anegados","Fished",10,8,10,"27.89594",-115.20824,"20",8,"Haliotisfulgens","0",NA,NA,NA,NA
"AntoioPantoja","8/4/14","2014","12:31","13:34","10","Mexico","IslaNatividad","Anegados","Fished",6,5,6,"27.89463",-115.20821,"20",8,"Haliotisfulgens","1",22,"1",NA,17
