"Observer","Date","Year","TimeInitial","TimeFinal","TransectNumber","Site","Location","Country","Zone","DepthInitial_m","DepthFinal_m","DepthMax_m","MidTransDepth_m","Latitude","Longitude","Temperature_C","Visibility_m","Genusspecies","TotalCounts","Distance","ExtrapolationValue","Status"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Anemonesp",0,NA,NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Cancersp",0,NA,NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Centrostephanuscoronatus",0,NA,NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Crassedomagiganteum",0,NA,NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Cypraeaspadicea",0,NA,NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Gorgoniansp",0,NA,NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Haliotiscorrugata",4,"",NA,"Concession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Haliotiscracherodii",0,NA,NA,"Concession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Haliotisfulgens",0,NA,NA,"Concession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Haliotisrufescens",0,NA,NA,"Concession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Haliotissorenseni",0,NA,NA,"Concession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Kelletiakelletii",0,NA,NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Lophogorgiachilensis",0,NA,NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Loxorhyncusgrandis",0,NA,NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Megastraeaturbanica",0,NA,NA,"Concession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Megastraeaundosa",4,"",NA,"Concession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Megathuracrenulata",2,"",NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Mesocentrotusfranciscanus",3,"",NA,"Concession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Octopussp",0,NA,NA,"Concession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Panulirusinterruptus",2,"",NA,"Concession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Parastichopusparvimensis",1,"",NA,"Concession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Patiriaminiata",0,NA,NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Pisastergiganteus",0,NA,NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Strongylocentrotuspurpuratus",1,"",NA,"NoConcession"
"Abraham Mayoral","8/21/06","2006","11:53","12:11"," 1","IslaNatividad","Babencho","Mexico","Fished","18","17.1","18","17.55","27.85768","-115.1913","14","8","Sunstarsp",0,NA,NA,"NoConcession"
"Alonso Ramirez","8/21/06","2006","11:51","11:59"," 2","IslaNatividad","Babencho","Mexico","Fished","18.1","18.1","18.1","18.1","27.85768","-115.1913","14","8","Anemonesp",0,NA,NA,"NoConcession"
"Alonso Ramirez","8/21/06","2006","11:51","11:59"," 2","IslaNatividad","Babencho","Mexico","Fished","18.1","18.1","18.1","18.1","27.85768","-115.1913","14","8","Cancersp",0,NA,NA,"NoConcession"
"Alonso Ramirez","8/21/06","2006","11:51","11:59"," 2","IslaNatividad","Babencho","Mexico","Fished","18.1","18.1","18.1","18.1","27.85768","-115.1913","14","8","Centrostephanuscoronatus",0,NA,NA,"NoConcession"
"Alonso Ramirez","8/21/06","2006","11:51","11:59"," 2","IslaNatividad","Babencho","Mexico","Fished","18.1","18.1","18.1","18.1","27.85768","-115.1913","14","8","Crassedomagiganteum",0,NA,NA,"NoConcession"
"Alonso Ramirez","8/21/06","2006","11:51","11:59"," 2","IslaNatividad","Babencho","Mexico","Fished","18.1","18.1","18.1","18.1","27.85768","-115.1913","14","8","Cypraeaspadicea",0,NA,NA,"NoConcession"
"Alonso Ramirez","8/21/06","2006","11:51","11:59"," 2","IslaNatividad","Babencho","Mexico","Fished","18.1","18.1","18.1","18.1","27.85768","-115.1913","14","8","Gorgoniansp",0,NA,NA,"NoConcession"
"Alonso Ramirez","8/21/06","2006","11:51","11:59"," 2","IslaNatividad","Babencho","Mexico","Fished","18.1","18.1","18.1","18.1","27.85768","-115.1913","14","8","Haliotiscorrugata",14,"",NA,"Concession"
"Alonso Ramirez","8/21/06","2006","11:51","11:59"," 2","IslaNatividad","Babencho","Mexico","Fished","18.1","18.1","18.1","18.1","27.85768","-115.1913","14","8","Haliotiscracherodii",0,NA,NA,"Concession"
"Alonso Ramirez","8/21/06","2006","11:51","11:59"," 2","IslaNatividad","Babencho","Mexico","Fished","18.1","18.1","18.1","18.1","27.85768","-115.1913","14","8","Haliotisfulgens",0,NA,NA,"Concession"
