codigo,observador,fecha,a–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),especie,Parche,talla,talla_correcta,"talla correcta, rounded (cm)",weight (g),fecundity (million eggs),fecundity Million eggs) corrected,Tiempo,Direccion,Abundancia
IMELPR-281110-ER-1-1-MAM,Erasmo Romero,11/28/10,2010,11:25,11:50,0:25,2,1,1,1,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,26.4,8,23.1,7,26.4,8,24.75,7.5,24.66179,112.17228,n/d,n/d,9,Amarillo,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,0
IMELPR-281110-ER-2-2-MAM,Erasmo Romero,11/28/10,2010,13:06,13:49,0:43,2,2,2,2,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,19.8,6,23.1,7,23.1,7,21.45,6.5,24.66164,112.17349,n/d,n/d,9,Amarillo,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,0
IMELPR-281110-ER-3-3-MAM,Ernesto Romero,11/28/10,2010,10:01,10:50,0:49,2,1,3,3,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,26.07,7.9,22.44,6.8,26.07,7.9,24.26,7.35,24.66181,112.17298,n/d,n/d,9,Amarillo,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,0
IMELPR-281110-ER-4-4-MAM,Ernesto Romero,11/28/10,2010,13:02,13:46,0:44,2,1,4,4,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,25.08,7.6,20.79,6.3,25.08,7.6,22.94,6.95,24.66187,112.17224,n/d,n/d,9,Amarillo,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,0
IMPUTE-271110-ER-1-1-MAM,Ernesto Romero,11/27/10,2010,10:02,10:38,0:36,2,1,1,1,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,40.26,12.2,50.16,15.2,50.16,15.2,45.21,13.7,24.66199,-112.1802,n/d,n/d,5,Amarillo,1,14,11.7065,12,199.601119,-0.091037091,0,14,n/d,1
IMPUTE-271110-ER-1-1-MAM,Ernesto Romero,11/27/10,2010,10:02,10:38,0:36,2,1,1,1,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,40.26,12.2,50.16,15.2,50.16,15.2,45.21,13.7,24.66199,-112.1802,n/d,n/d,5,Amarillo,2,16,13.2025,13,298.9873199,0.167367032,0.167367032,16,n/d,1
IMPUTE-271110-ER-2-2-MAM,Ernesto Romero,11/27/10,2010,12:15,12:28,0:13,2,2,2,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,39.6,12,39.6,12,39.6,12,39.6,12,24.65128,112.18231,n/d,n/d,5,Amarillo,n/d,n/d,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,n/d,180,0
IMELAB-271110-ER-1-1-MAM,Erasmo Romero,11/27/10,2010,11:18,11:44,0:26,2,1,1,1,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,39.6,12,39.6,12,39.6,12,39.6,12,24.57419,-112.10616,n/d,n/d,8,Amarillo,n/d,n/d,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,n/d,180,0
IMPUBA-261110-ER-1-1-MAM,Ernesto Romero,11/26/10,2010,11:02,11:35,0:33,2,1,1,1,Punta Blanca Garropas,"Punta Blanca garropas, Isla Magdalena, Baja California Sur",1,46.53,14.1,46.53,14.1,46.53,14.1,46.53,14.1,24.66053,-112.17095,n/d,n/d,3,Amarillo,1,16,13.2025,13,298.9873199,0.167367032,0.167367032,30,0,1
IMPUBA-261110-ER-1-2-MAM,Erasmo Romero,11/26/10,2010,11:15,11:45,0:30,2,1,2,2,Punta Blanca Garropas,"Punta Blanca garropas, Isla Magdalena, Baja California Sur",1,49.5,15,33,10,49.5,15,41.25,12.5,24.6605,-112.18179,n/d,n/d,3,Amarillo,1,22,17.6905,18,799.1987221,1.467916678,1.467916678,14,0,1
