codigo,observador,fecha,Tiempo inicial (Ti),Tiempo final,Tiempo total,Direccion,Parche,Talla,Tiempo parche (Tp),Tp-Ti,Especie,Tipo comunidad,Epoca,Sitio,Sitio en extenso,Latitud (N),Longitud (W),Temp (¡F),Temp (¡C),Vis (m),Comentarios,Tipo de sitio,Prof inicial (ft),Prof inicial (m),Prof final (ft),Prof final (m),Prof max (ft),Prof max (m),Prof X (ft),Prof X (m),Talla_correcta,"Talla correcta, rounded (cm)",Peso (g),Fecundity (million eggs),Fecundity Million eggs) corrected,Tiempo Tp-Ti (AH),Zona,Abundancia,No. buceo,No. replica,No. transecto
,Ernesto Romero,10/8/11,0:02,0:35,0:33,n/d,0,0,,,Amarillo,E,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",24.57407,-112.10578,n/d,n/d,n/d,No se observo abulon,2,33.33,10.1,,12.1,33.33,12.1,33.33,11.1,1,1,0,-1,0,,,,,,
,Erasmo Rochin,10/8/11,12:28,12:58,0:30,160,0,0,,,Amarillo,E,E,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",24.77375,-112.1058,n/d,n/d,4,No se observo abulon,2,36,10.91,46,13.94,46,13.94,41,12.42,1,1,0,-1,0,,,,,,
,Ernesto Romero,10/8/11,0:01,0:29,0:28,n/d,0,0,,,Amarillo,E,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",24.57419,-112.11616,n/d,n/d,n/d,No se observo abulon,2,40.92,12.4,,10.9,40.92,12.4,40.92,11.65,1,1,0,-1,0,,,,,,
,Erasmo Rochin,10/8/11,13:44,14:12,0:28,160,1,5,14:03,0:19,Amarillo,E,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",24.57453,-112.1062,n/d,n/d,4,,2,38,11.52,43,13.03,43,13.03,40.5,12.27,5,5,11,-1,0,,,,,,
,Erasmo Rochin,10/8/11,13:44,14:12,0:28,160,1,5,14:03,0:19,Amarillo,E,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",24.57453,-112.1062,n/d,n/d,4,,2,38,11.52,43,13.03,43,13.03,40.5,12.27,5,5,11,-1,0,,,,,,
,Ernesto Romero,10/10/11,0:02,0:03,0:01,n/d,n/d,n/d,,,Amarillo,n/d,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",24.55546,-112.10321,n/d,n/d,n/d,Cancelado,2,,24,,24,0,24,#DIV/0!,24,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
,Erasmo Rochin,10/10/11,11:29,11:52,0:23,n/d,0,0,,,Amarillo,E,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",24.55773,-112.10432,n/d,n/d,6,No se observo abulon,2,55,16.67,49,14.85,55,16.67,52,15.76,1,1,0,-1,0,,,,,,
,Ernesto Romero,10/10/11,0:01,0:32,0:31,300,0,0,,,Amarillo,n/d,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",24.55767,-112.10419,n/d,n/d,n/d,No se observo abulon,2,,15.2,,14.2,0,15.2,#DIV/0!,14.7,1,1,0,-1,0,,,,,,
,Erasmo Rochin,10/10/11,12:51,13:06,0:15,160,0,0,,,Amarillo,E,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",24.55495,-112.10291,n/d,n/d,6,No se observo abulon,2,72,21.82,73,22.12,73,22.12,72.5,21.97,1,1,0,-1,0,,,,,,
IMELPR-111011-ER-1-1-MAM,Ernesto Romero,10/11/11,0:01,0:29,0:28,60,0,0,,,Amarillo,E,2,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",24.66169,-112.17349,n/d,n/d,3,No se observo abulon,2,27.39,8.3,45.54,13.8,45.54,13.8,36.47,11.05,1.23,1,0.1,-0.61,0,n/d,1,0,1,1,1
