codigo,observador,fecha,a–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),especie,Parche,talla,talla_correcta,"talla correcta, rounded (cm)",weight (g),fecundity (million eggs),fecundity Million eggs) corrected,Tiempo,Direccion,Abundancia
IMELPR-281110-ER-1-1-MAZ,Erasmo Romero,11/28/10,2010,11:25,11:50,0:25,2,1,1,1,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,26.4,8,23.1,7,26.4,8,24.75,7.5,24.66179,-112.17228,n/d,n/d,9,Azul,1,18,14.6985,15,428.830192,0.504958499,0.504958499,13,n/d,1
IMELPR-281110-ER-1-1-MAZ,Erasmo Romero,11/28/10,2010,11:25,11:50,0:25,2,1,1,1,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,26.4,8,23.1,7,26.4,8,24.75,7.5,24.66179,-112.17228,n/d,n/d,9,Azul,2,16,13.2025,13,298.9873199,0.167367032,0.167367032,42,n/d,1
IMELPR-281110-ER-1-1-MAZ,Erasmo Romero,11/28/10,2010,11:25,11:50,0:25,2,1,1,1,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,26.4,8,23.1,7,26.4,8,24.75,7.5,24.66179,-112.17228,n/d,n/d,9,Azul,3,10,8.7145,9,74.03937291,-0.41749763,0,43,n/d,1
IMELPR-281110-ER-1-1-MAZ,Erasmo Romero,11/28/10,2010,11:25,11:50,0:25,2,1,1,1,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,26.4,8,23.1,7,26.4,8,24.75,7.5,24.66179,-112.17228,n/d,n/d,9,Azul,4,8,7.2185,7,39.32147556,-0.507764164,0,44,n/d,1
IMELPR-281110-ER-1-1-MAZ,Erasmo Romero,11/28/10,2010,11:25,11:50,0:25,2,1,1,1,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,26.4,8,23.1,7,26.4,8,24.75,7.5,24.66179,-112.17228,n/d,n/d,9,Azul,5,5,4.9745,5,11.2544978,-0.580738306,0,52,n/d,1
IMELPR-281110-ER-1-1-MAZ,Erasmo Romero,11/28/10,2010,11:25,11:50,0:25,2,1,1,1,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,26.4,8,23.1,7,26.4,8,24.75,7.5,24.66179,-112.17228,n/d,n/d,9,Azul,5,5,4.9745,5,11.2544978,-0.580738306,0,52,n/d,1
IMELPR-281110-ER-2-2-MAZ,Erasmo Romero,11/28/10,2010,13:06,13:49,0:43,2,2,2,2,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,19.8,6,23.1,7,23.1,7,21.45,6.5,24.66164,-112.17349,n/d,n/d,9,Azul,1,18,14.6985,15,428.830192,0.504958499,0.504958499,8,n/d,1
IMELPR-281110-ER-2-2-MAZ,Erasmo Romero,11/28/10,2010,13:06,13:49,0:43,2,2,2,2,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,19.8,6,23.1,7,23.1,7,21.45,6.5,24.66164,-112.17349,n/d,n/d,9,Azul,2,14,11.7065,12,199.601119,-0.091037091,0,11,n/d,1
IMELPR-281110-ER-2-2-MAZ,Erasmo Romero,11/28/10,2010,13:06,13:49,0:43,2,2,2,2,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,19.8,6,23.1,7,23.1,7,21.45,6.5,24.66164,-112.17349,n/d,n/d,9,Azul,3,13,10.9585,11,159.8864849,-0.194295139,0,13,n/d,1
IMELPR-281110-ER-2-2-MAZ,Erasmo Romero,11/28/10,2010,13:06,13:49,0:43,2,2,2,2,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,19.8,6,23.1,7,23.1,7,21.45,6.5,24.66164,-112.17349,n/d,n/d,9,Azul,3,16,13.2025,13,298.9873199,0.167367032,0.167367032,13,n/d,1
