codigo,Oservador,Fecha,Tiempo inicial (Ti),Tiempo final,Duracion,Parche,Talla,Tiempo parche (Tp),Tp-Ti,Tipo comunidad,Temporada,Comentarios,Sitio,Sitio extenso,Direccion,Latitude (N),Longitud (W),Temp. (F),Tem. (C) ,Visibilidad,Especie,Prof. Inicio ft,Prof. Inicio m,Prof. Fin ft,Prof. Fin m,Prof. Max ft,Prof. Max m,Prof. Prom ft,Prof. Prom m,talla_correcta,"talla correcta, rounded (cm)",weight (g),fecundity (million eggs),fecundity Million eggs) corrected,Tiempo Tp-Ti (AH),,,No. replica,No. transecto,,Zona
IMELAB-081011-ER-1-1-MAZ,Ernesto Romero,10/8/11,0:02,0:35,0:33,1,5,0:06,0:04,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",30,24.57407,-112.10578,n/d,n/d,4,Azul,33.3,10.1,39.9,12.1,39.9,12.1,36.6,11.1,4.97,5,11.25,-0.58,0,6,1,1,1,1,2,1
IMELAB-081011-ER-1-1-MAZ,Ernesto Romero,10/8/11,0:02,0:35,0:33,2,14,0:19,0:17,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",30,24.57407,-112.10578,n/d,n/d,4,Azul,33.3,10.1,39.9,12.1,39.9,12.1,36.6,11.1,11.71,12,199.6,-0.09,0,18,1,1,1,1,2,1
IMELAB-081011-ER-1-1-MAZ,Ernesto Romero,10/8/11,0:02,0:35,0:33,3,16,0:24,0:22,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",30,24.57407,-112.10578,n/d,n/d,4,Azul,33.3,10.1,39.9,12.1,39.9,12.1,36.6,11.1,13.2,13,298.99,0.17,0.17,21,1,1,1,1,2,1
IMELAB-081011-ER-1-1-MAZ,Ernesto Romero,10/8/11,0:02,0:35,0:33,4,12,0:26,0:24,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",30,24.57407,-112.10578,n/d,n/d,4,Azul,33.3,10.1,39.9,12.1,39.9,12.1,36.6,11.1,10.21,10,126.08,-0.28,0,26,1,1,1,1,2,1
IMELAB-081011-ER-1-1-MAZ,Ernesto Romero,10/8/11,0:02,0:35,0:33,5,13,0:34,0:32,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",30,24.57407,-112.10578,n/d,n/d,4,Azul,33.3,10.1,39.9,12.1,39.9,12.1,36.6,11.1,10.96,11,159.89,-0.19,0,34,1,1,1,1,2,1
IMELAB-081011-ER-2-2-MAZ,Ernesto Romero,10/8/11,0:01,0:29,0:28,1,17,0:11,0:10,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",30,24.57419,-112.11616,n/d,n/d,3,Azul,40.9,12.4,36,10.9,40.9,12.4,38.4,11.7,13.95,14,359.81,0.33,0.33,11,1,2,2,2,2,1
IMELAB-081011-ER-2-2-MAZ,Ernesto Romero,10/8/11,0:01,0:29,0:28,1,17,0:11,0:10,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",30,24.57419,-112.11616,n/d,n/d,3,Azul,40.9,12.4,36,10.9,40.9,12.4,38.4,11.7,13.95,14,359.81,0.33,0.33,11,1,2,2,2,2,1
IMELAB-081011-ER-2-2-MAZ,Ernesto Romero,10/8/11,0:01,0:29,0:28,2,14,0:23,0:22,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",30,24.57419,-112.11616,n/d,n/d,3,Azul,40.9,12.4,36,10.9,40.9,12.4,38.4,11.7,11.71,12,199.6,-0.09,0,23,1,2,2,2,2,1
IMELAB-081011-ER-4-4-MAZ,Erasmo Rochin,10/8/11,13:44,14:11,0:27,1,10,13:48,0:04,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.57453,-112.1062,n/d,n/d,4,Azul,38,11.5,43,13,43,13,40.5,12.3,8.71,9,74.04,-0.42,0,4,1,2,4,4,2,1
IMELAB-081011-ER-4-4-MAZ,Erasmo Rochin,10/8/11,13:44,14:11,0:27,1,12,13:48,0:04,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.57453,-112.1062,n/d,n/d,4,Azul,38,11.5,43,13,43,13,40.5,12.3,10.21,10,126.08,-0.28,0,4,1,2,4,4,2,1
