C—digo,observador,fecha,a–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),direccion,especie,abundancia,# guias,Distancia,Extrapolaci—n,Observaciones,
ELABPR-101114-NV-1-1-DA,Norberto Velez,11/10/14,2014,3:04,3:10,0:06,2,1,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,45.87,13.90,47.19,14.30,47.19,14.3,46.53,14.10,24.66169,-112.18153,77.0,25.0,9,310,Coliflor,50,n/a,16,94,,
PUBLEP-101114-NV-1-11-DA,Norberto Velez,11/10/14,2014,4:32,4:38,0:06,2,1,11,11,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,25.74,7.80,35.64,10.80,35.64,10.8,30.69,9.30,24.65971,-112.17742,77.0,25.0,9,310,Coliflor,47,n/a,30,47,,
ELABPR-101114-CA-2-2-DA,Christian Alducin,11/10/14,2014,3:15,3:18,0:03,2,1,2,2,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,39.60,12.00,35.64,10.80,39.60,12,37.62,11.40,24.66169,-112.18153,77.0,25.0,9,130,Coliflor,50,n/a,5,300,,
PUBLEP-101114-CA-12-12-DA,Christian Alducin,11/10/14,2014,4:24,4:28,0:04,2,1,12,12,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,39.60,12.00,35.64,10.80,39.60,12,37.62,11.40,24.65971,-112.17742,77.0,25.0,9,130,Coliflor,53,n/a,20,80,,
ELABPR-101114-UG-5-5-DA,Ulises Gomez,11/10/14,2014,12:24,12:29,0:05,2,1,5,5,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,52.80,16.00,35.64,10.80,52.80,16,44.22,13.40,24.66257,-112.18263,77.0,25.0,13,240,Coliflor,50,n/a,18,n/a,,
ELABPR-101114-UG-6-6-DA,Ulises Gomez,11/10/14,2014,1:41,1:47,0:06,2,1,6,6,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,52.80,16.00,35.64,10.80,52.80,16,44.22,13.40,24.66351,-112.1824,77.0,25.0,13,60,Coliflor,50,n/a,24,n/a,,
ELABPR-101114-RR-3-3-DA,Raul Romero,11/10/14,2014,3:23,3:29,0:06,2,1,3,3,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,48.18,14.60,48.18,14.60,48.18,14.6,48.18,14.60,24.66257,-112.18263,77.0,25.0,7,60,Coliflor,50,n/a,8,n/a,,
ELABPR-101114-RR-4-4-DA,Raul Romero,11/10/14,2014,1:24,1:29,0:05,2,1,4,4,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,54.12,16.40,54.12,16.40,54.12,16.4,54.12,16.40,24.66365,-112.1824,77.0,25.0,7,240,Coliflor,10,n/a,10,n/a,,
ELABPR-101114-AR-7-7-DA,Alfonso Romero,11/10/14,2014,2:58,3:03,0:05,2,1,7,7,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,46.20,14.00,45.21,13.70,46.2,14,45.71,13.85,24.66169,-112.18153,77.0,25.0,12,130,Coliflor,50,n/a,20,n/a,,
PUBLEP-101114-AR-8-8-DA,Alfonso Romero,11/10/14,2014,4:14,4:16,0:02,2,1,8,8,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,26.53,8.04,29.80,9.03,29.799,9.03,28.17,8.54,24.65951,-112.17742,77.0,25.0,12,130,Coliflor,21,n/a,30,n/a,,
ELABPR-101114-DV-9-9-DA,Daniel Valdez,11/10/14,2014,2:58,3:01,0:03,2,1,9,9,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,47.52,14.40,41.25,12.50,47.52,14.4,44.39,13.45,24.66169,-112.18153,77.0,25.0,15,310,Coliflor,30,n/a,30,n/a,,
PUBLEP-101114-DV-10-10-DA,Daniel Valdez,11/10/14,2014,4:14,4:17,0:03,2,1,10,10,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,33.66,10.20,36.63,11.10,36.63,11.1,35.15,10.65,24.65471,-112.17742,77.0,25.0,15,310,Coliflor,50,n/a,30,n/a,,
ELABPR-111114-DV-19-19-DA,Daniel Valdez,11/11/14,2014,3:35,3:37,0:02,2,2,19,19,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,35.31,10.70,41.58,12.60,41.58,12.6,38.45,11.65,24.66331,-112.17284,77.0,25.0,8,310,Coliflor,44,n/a,30,n/a,,
PUBLEP-111114-DV-20-20-DA,Daniel Valdez,11/11/14,2014,4:34,4:36,0:02,2,2,20,20,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,19.80,6.00,13.20,4.00,19.80,6,16.50,5.00,24.66208,-112.17169,77.0,25.0,8,310,Coliflor,44,n/a,30,n/a,,
PUBLEP-111114-AR-17-17-DA,Alfonso Romero,11/11/14,2014,3:36,3:40,0:04,2,2,17,17,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,35.31,10.70,30.69,9.30,35.31,10.7,33.00,10.00,24.66331,-112.17284,77.0,25.0,8,130,Coliflor,42,n/a,30,n/a,,
PUBLEP-111114-AR-18-18-DA,Alfonso Romero,11/11/14,2014,3:31,3:36,0:05,2,2,18,18,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,10.23,3.10,13.20,4.00,13.20,4,11.72,3.55,24.66208,-112.17169,77.0,25.0,8,130,Coliflor,7,n/a,30,n/a
ELABPR-111114-NV-13-13-DA,Norberto Velez,11/11/14,2014,3:29,3:34,0:05,2,2,13,13,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,44.55,13.50,45.87,13.90,45.87,13.9,45.21,13.70,24.66331,-112.17284,77.0,25.0,9,310,Coliflor,4,n/a,30,n/a
PUBLEP-111114-NV-14-14-DA,Norberto Velez,11/11/14,2014,4:46,4:54,0:08,2,2,14,14,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,12.87,3.90,14.19,4.30,14.19,4.3,13.53,4.10,24.66208,-112.17169,77.0,25.0,9,310,Coliflor,38,n/a,30,n/a
ELABPR-111114-CA-15-15-DA,Christian Alducin,11/11/14,2014,3:21,3:25,0:04,2,2,15,15,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,39.60,12.00,36.30,11.00,39.60,12,37.95,11.50,24.66331,-112.17284,77.0,25.0,9,130,Coliflor,27,n/a,30,n/a
PUBLEP-111114-CA-16-16-DA,Christian Alducin,11/11/14,2014,4:31,4:36,0:05,2,2,16,16,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,16.50,5.00,16.50,5.00,16.50,5,16.50,5.00,24.66208,-112.17169,77.0,25.0,9,130,Coliflor,50,n/a,30,n/a
ELABSO-111114-RR-1-1-DA,Raul Romero,11/11/14,2014,2:27,2:32,0:05,2,1,1,1,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",1,23.10,7.00,27.39,8.30,27.39,8.3,25.25,7.65,24.6523,-112.17632,77.0,25.0,8,240,Coliflor,27,n/a,30,n/a
ELABSO-111114-RR-2-2-DA,Raul Romero,11/11/14,2014,2:31,2:37,0:06,2,1,2,2,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",1,23.43,7.10,24.42,7.40,24.42,7.4,23.93,7.25,24.16551,-112.117603,77.0,25.0,8,240,Coliflor,2,n/a,30,n/a
ELABSO-111114-UG-3-3-DA,Ulises Gomez,11/11/14,2014,12:52,12:55,0:03,2,1,3,3,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",1,23.43,7.10,19.97,6.05,23.43,7.1,21.70,6.58,24.16230,-112.117232,77.0,25.0,8,90,Coliflor,50,n/a,17,n/a
ELABSO-111114-UG-4-4-DA,Ulises Gomez,11/11/14,2014,2:02,2:06,0:04,2,1,4,4,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",1,25.08,7.60,23.10,7.00,25.08,7.6,24.09,7.30,24.16551,-112.117603,77.0,25.0,8,210,Coliflor,3,n/a,30,n/a
PUBLPR-121114-RR-7-7-DA,Raul Romero,11/12/14,2014,11:27,11:31,0:04,2,2,7,7,Punta Blanca profundo,"Punta Blanca profundo, Isla Magdalena, Baja California Sur",1,62.70,19.00,64.68,19.60,64.68,19.6,63.69,19.30,24.65206,-112.18229,77.0,25.0,7,120,Coliflor,8,n/a,30,n/a
PUBLPR-121114-RR-8-8-DA,Raul Romero,11/12/14,2014,11:22,11:26,0:04,2,2,8,8,Punta Blanca profundo,"Punta Blanca profundo, Isla Magdalena, Baja California Sur",1,28.05,8.50,31.35,9.50,31.35,9.5,29.70,9.00,24.65615,-112.1765,77.0,25.0,7,120,Coliflor,1,n/a,30,n/a
PUBLPR121114-UG-9-9-DA,Ulises Gomez,11/12/14,2014,11:07,11:14,0:07,2,2,9,9,Punta Blanca profundo,"Punta Blanca profundo, Isla Magdalena, Baja California Sur",1,64.68,19.60,62.70,19.00,64.68,5,63.69,19.30,24.65206,-112.18229,77.0,25.0,7,120,Coliflor,50,n/a,22,n/a
PUBLPR121114-UG-10-10-DA,Ulises Gomez,11/12/14,2014,12:23,12:28,0:05,2,2,10,10,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,26.40,8.00,26.40,8.00,26.40,5,26.40,8.00,24.65615,-112.1765,77.0,25.0,7,120,N/D,N/D,N/D,N/D,N/D
PUBLPR-121114-AR-11-11-DA,Alfonso Romero,11/12/14,2014,1:32,1:35,0:03,2,2,11,11,Punta Blanca profundo,"Punta Blanca profundo, Isla Magdalena, Baja California Sur",1,64.02,19.40,63.69,19.30,64.02,5,63.86,19.35,24.65206,-112.18229,77.0,25.0,13,120,Coliflor,4,n/a,30,n/a
PUBLPR-121114-AR-12-12-DA,Alfonso Romero,11/12/14,2014,2:46,2:47,0:01,2,2,12,12,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,27.72,8.40,24.09,7.30,27.72,5,25.91,7.85,24.65615,-112.1765,77.0,25.0,13,120,N/D,N/D,N/D,N/D,N/D
