Código,observador,fecha,año,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (°F),temperatura (°C),visibilidad (m),Direccion,especie,abundancia,Distancia,extrapolacion,Comentarios
PUBLGA-101114-NV-1-1-INV,Norberto Velez,11/10/14,2014,2:56,3:03,0:07,2,1,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,45.87,13.9,46.86,14.2,46.86,14.2,46.37,14.05,24.66169,-112.18153,77,25,9,310,Abulon azul,1,30,,
PUBLGA-101114-NV-1-1-INV,Norberto Velez,11/10/14,2014,2:56,3:03,0:07,2,1,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,45.87,13.9,46.86,14.2,46.86,14.2,46.37,14.05,24.66169,-112.18153,77,25,9,310,Abulon amarillo,1,30,,
PUBLGA-101114-NV-1-1-INV,Norberto Velez,11/10/14,2014,2:56,3:03,0:07,2,1,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,45.87,13.9,46.86,14.2,46.86,14.2,46.37,14.05,24.66169,-112.18153,77,25,9,310,Langosta roja,34,30,,
PUBLGA-101114-NV-1-1-INV,Norberto Velez,11/10/14,2014,2:56,3:03,0:07,2,1,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,45.87,13.9,46.86,14.2,46.86,14.2,46.37,14.05,24.66169,-112.18153,77,25,9,310,Caracol chino,5,30,,
PUBLGA-101114-NV-1-1-INV,Norberto Velez,11/10/14,2014,2:56,3:03,0:07,2,1,1,1,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,45.87,13.9,46.86,14.2,46.86,14.2,46.37,14.05,24.66169,-112.18153,77,25,9,310,Pulpo,2,30,,Cabrilla sardinera
PUBLGA-101114-NV-11-11-INV,Norberto Velez,11/10/14,2014,4:21,4:31,0:10,2,1,11,11,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,25.74,7.8,35.64,10.8,35.64,10.8,30.69,9.3,24.65971,-112.17742,77,25,9,310,Abulon azul,3,30,,
PUBLGA-101114-NV-11-11-INV,Norberto Velez,11/10/14,2014,4:21,4:31,0:10,2,1,11,11,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,25.74,7.8,35.64,10.8,35.64,10.8,30.69,9.3,24.65971,-112.17742,77,25,9,310,Pepino café,1,30,,
PUBLGA-101114-NV-11-11-INV,Norberto Velez,11/10/14,2014,4:21,4:31,0:10,2,1,11,11,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,25.74,7.8,35.64,10.8,35.64,10.8,30.69,9.3,24.65971,-112.17742,77,25,9,310,Caracol chino,3,30,,
PUBLGA-101114-NV-11-11-INV,Norberto Velez,11/10/14,2014,4:21,4:31,0:10,2,1,11,11,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,25.74,7.8,35.64,10.8,35.64,10.8,30.69,9.3,24.65971,-112.17742,77,25,9,310,Erizo puntas rotas,2,30,,
PUBLGA-101114-NV-11-11-INV,Norberto Velez,11/10/14,2014,4:21,4:31,0:10,2,1,11,11,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,25.74,7.8,35.64,10.8,35.64,10.8,30.69,9.3,24.65971,-112.17742,77,25,9,310,Estrella comun,4,30,,
PUBLGA-101114-NV-11-11-INV,Norberto Velez,11/10/14,2014,4:21,4:31,0:10,2,1,11,11,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,25.74,7.8,35.64,10.8,35.64,10.8,30.69,9.3,24.65971,-112.17742,77,25,9,310,Pulpo,6,30,,
PUBLGA-101114-CA-2-2-INV,Christian Alducin,11/10/14,2014,2:58,3:09,0:11,2,1,2,2,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,42.9,13,39.6,12,42.9,13,41.25,12.5,24.66169,-112.18153,77,25,10,130,Abulon azul,2,30,,
PUBLGA-101114-CA-2-2-INV,Christian Alducin,11/10/14,2014,2:58,3:09,0:11,2,1,2,2,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,42.9,13,39.6,12,42.9,13,41.25,12.5,24.66169,-112.18153,77,25,10,130,langosta azul,3,30,,
PUBLGA-101114-CA-2-2-INV,Christian Alducin,11/10/14,2014,2:58,3:09,0:11,2,1,2,2,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,42.9,13,39.6,12,42.9,13,41.25,12.5,24.66169,-112.18153,77,25,10,130,Caracol chino,6,30,,
PUBLGA-101114-CA-2-2-INV,Christian Alducin,11/10/14,2014,2:58,3:09,0:11,2,1,2,2,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,42.9,13,39.6,12,42.9,13,41.25,12.5,24.66169,-112.18153,77,25,10,130,Estrella comun,13,30,,
PUBLGA-101114-CA-2-2-INV,Christian Alducin,11/10/14,2014,2:58,3:09,0:11,2,1,2,2,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,42.9,13,39.6,12,42.9,13,41.25,12.5,24.66169,-112.18153,77,25,10,130,pulpo,4,30
PUBLGA-101114-CA-12-12-INV,Christian Alducin,11/10/14,2014,4:12,4:21,0:09,2,1,12,12,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,42.9,13,39.6,12,42.9,13,41.25,12.5,24.65971,-112.17742,77,25,10,130,n/d,0,30
PUBLGA-101114-AR-7-7-INV,Alfonso Romero,11/10/14,2014,4:12,4:21,0:09,2,1,7,7,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,47.52,14.4,39.77,12.05,47.52,14.4,43.64,13.23,24.66169,-112.18153,77,25,12,130,Langosta roja,1,30
PUBLGA-101114-AR-7-7-INV,Alfonso Romero,11/10/14,2014,4:12,4:21,0:09,2,1,7,7,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,47.52,14.4,39.77,12.05,47.52,14.4,43.64,13.23,24.66169,-112.18153,77,25,12,130,Pepino café,2,30
PUBLGA-101114-AR-7-7-INV,Alfonso Romero,11/10/14,2014,4:12,4:21,0:09,2,1,7,7,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,47.52,14.4,39.77,12.05,47.52,14.4,43.64,13.23,24.66169,-112.18153,77,25,12,130,Caracol chino,3,30
PUBLGA-101114-AR-7-7-INV,Alfonso Romero,11/10/14,2014,4:12,4:21,0:09,2,1,7,7,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,47.52,14.4,39.77,12.05,47.52,14.4,43.64,13.23,24.66169,-112.18153,77,25,12,130,Arbolito café,1,30
PUBLGA-101114-AR-7-7-INV,Alfonso Romero,11/10/14,2014,4:12,4:21,0:09,2,1,7,7,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,47.52,14.4,39.77,12.05,47.52,14.4,43.64,13.23,24.66169,-112.18153,77,25,12,130,Caracol chino,3,30
PUBLEP-101114-AR-8-8-INV,Alfonso Romero,11/10/14,2014,2:51,2:57,0:06,2,1,8,8,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,27.72,8.4,30.69,9.3,30.69,9.3,29.21,8.85,24.66169,-112.18153,77,25,10,130,Arboilito rojo,1,30
PUBLEP-101114-AR-8-8-INV,Alfonso Romero,11/10/14,2014,2:51,2:57,0:06,2,1,8,8,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,27.72,8.4,30.69,9.3,30.69,9.3,29.21,8.85,24.66169,-112.18153,77,25,10,130,Langosta roja,1,30
PUBLEP-101114-AR-8-8-INV,Alfonso Romero,11/10/14,2014,2:51,2:57,0:06,2,1,8,8,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,27.72,8.4,30.69,9.3,30.69,9.3,29.21,8.85,24.66169,-112.18153,77,25,10,130,Pepino café,1,30
PUBLEP-101114-AR-8-8-INV,Alfonso Romero,11/10/14,2014,2:51,2:57,0:06,2,1,8,8,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,27.72,8.4,30.69,9.3,30.69,9.3,29.21,8.85,24.66169,-112.18153,77,25,10,130,Caracol chino,2,30
PUBLEP-101114-AR-8-8-INV,Alfonso Romero,11/10/14,2014,2:51,2:57,0:06,2,1,8,8,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,27.72,8.4,30.69,9.3,30.69,9.3,29.21,8.85,24.66169,-112.18153,77,25,10,130,Estrella comun,9,30
PUBLGA-101114-DV-9-9-INV,Daniel Valdez,11/10/14,2014,2:51,2:55,0:04,2,1,9,9,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,47.52,14.4,41.25,12.5,47.52,14.4,44.39,13.45,24.66169,-112.18153,77,25,15,310,Pepino café,1,30
PUBLEP-101114-AR-10-10-INV,Daniel Valdez,11/10/14,2014,4:13,4:15,0:02,2,1,10,10,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,33.66,10.2,36.63,11.1,36.63,11.1,35.15,10.65,24.65951,-112.17742,77,25,15,310,Estrella comun,10,30
PUBLGA-101114-RR-3-3-INV,Raul Romero,11/10/14,2014,12:09,12:14,0:05,2,1,3,3,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,48.18,14.6,48.18,14.6,48.18,14.6,48.18,14.6,24.66267,-112.18263,77,25,7,60,Caracol chino,2,30
PUBLGA-101114-RR-4-4-INV,Raul Romero,11/10/14,2014,1:10,1:15,0:05,2,1,4,4,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,54.12,16.4,54.12,16.4,54.12,16.4,54.12,16.4,24.66365,-112.1824,77,25,7,240,langosta azul,3,30
