codigo,observador,fecha,A–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),A,G,B,R,O,0,1,2,3,N,C,OC,V,R,CO,L,I,G,P,Total sustrato,Total relieve,Total Cobertura,direcci—n
INLAPL-170806-AM-1-26-PCU,Abraham Mayoral,8/17/06,2006,10:34,10:45,0:11,2,1,26,26,La Plana/Las Cuevas,"La Plana/Las Cuevas, Isla Natividad Baja California Sur",1,55.11,16.7,52.14,15.8,55.11,16.7,,,27.84552,-115.16577,,,5,1,1,2,6,0,1,4,0,5,1,1,0,0,1,2,4,1,0,0,10,10,10,240
INLAPL-170806-AM-2-27-PCU,Abraham Mayoral,8/17/06,2006,12:47,12:54,0:07,2,2,27,27,La Plana/Las Cuevas,"La Plana/Las Cuevas, Isla Natividad Baja California Sur",1,25.08,7.6,24.42,7.4,24.42,7.4,,,27.84822,-115.17097,,,5,3,1,1,5,0,0,10,0,0,3,0,1,0,0,3,3,0,0,0,10,10,10,30
INLADU-180806-AM-1-1-PCU,Abraham Mayoral,8/18/06,2006,11:07,11:15,0:08,2,1,1,1,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,41.58,12.6,39.93,12.1,41.58,12.6,,,27.84505,-115.14555,,,5,1,1,1,7,0,0,7,3,0,1,0,1,0,0,1,7,0,0,0,10,10,10,30
INLADU-180806-AM-2-2-PCU,Abraham Mayoral,8/18/06,2006,13:30,13:39,0:09,2,2,2,2,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,38.61,11.7,40.92,12.4,40.92,12.4,,,27.8439,-115.14488,,,5,0,3,0,7,0,2,6,2,0,0,1,0,0,1,1,6,1,0,0,10,10,10,30
INLADU-190806-AM-1-1-PCU,Abraham Mayoral,8/19/06,2006,11:16,11:23,0:07,2,1,1,1,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,52.47,15.9,61.38,18.6,61.38,18.6,,,27.89218,-115.19066,57,14,8,4,4,0,2,0,3,6,1,0,0,0,6,0,0,0,4,0,0,0,10,10,10,210
INLADU-190806-AM-2-2-PCU,Abraham Mayoral,8/19/06,2006,13:49,13:59,0:10,2,2,2,2,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,28.38,8.6,35.64,10.8,35.64,10.8,,,27.88836,-115.19248,63,17,8,0,2,0,8,0,0,3,7,0,0,0,0,1,2,4,3,0,0,0,10,10,10,210
INREBA-210806-AM-1-1-PCU,Abraham Mayoral,8/21/06,2006,12:11,12:23,0:12,2,1,1,1,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,56.43,17.1,59.4,18,59.4,18,,,27.85768,-115.19135,55,13,8,1,8,12,9,0,11,16,3,0,0,1,3,0,12,3,11,0,0,0,30,30,30,30
INLADU-220806-AM-1-7-PCU,Abraham Mayoral,8/22/06,2006,11:53,12:01,0:08,2,1,7,7,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,30.69,9.3,25.08,7.6,30.69,9.3,,,27.84262,-115.14275,64,18,15,0,1,1,8,0,0,8,2,0,0,1,0,0,2,4,2,0,1,0,10,10,10,120
INLADU-220806-AM-2-8-PCU,Abraham Mayoral,8/22/06,2006,13:56,14:06,0:10,2,2,8,8,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,20.79,6.3,23.76,7.2,23.76,7.2,,,27.8417,-115.14218,64,18,15,0,1,0,9,0,0,2,5,3,0,1,0,4,0,1,2,0,2,0,10,10,10,270
INREBA-230806-AM-1-6-PCU,Abraham Mayoral,8/23/06,2006,11:18,11:24,0:06,2,1,6,6,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,48.51,14.7,46.2,14,48.51,14.7,,,27.86075,-115.18935,59,15,5,2,3,1,4,0,3,7,0,0,2,0,0,0,1,3,3,0,1,0,10,10,10,210
INREBA-230806-AM-2-7-PCU,Abraham Mayoral,8/23/06,2006,12:49,12:59,0:10,2,2,7,7,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,23.43,7.1,34.32,10.4,34.32,10.4,,,27.86467,-115.18575,59,15,5,2,0,0,8,0,1,2,2,5,5,1,0,0,0,2,1,0,1,0,10,10,10,210
INPUPR-250806-AM-1-7-PCU,Abraham Mayoral,8/25/06,2006,11:38,11:45,0:07,2,1,7,7,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,45.87,13.9,43.23,13.1,45.87,13.9,,,27.89141,-115.19245,63,17,6,4,0,0,6,0,5,5,0,0,3,0,0,0,2,4,1,0,0,0,10,10,10,240
INPUPR-250806-AM-2-8-PCU,Abraham Mayoral,8/25/06,2006,13:40,13:49,0:09,2,2,8,8,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,22.11,6.7,26.4,8,26.4,8,,,27.88798,-115.19468,64,18,4,0,1,0,9,0,0,7,3,0,0,0,2,2,3,2,1,0,0,0,10,10,10,210
INLAPL-170806-AR-1-28-PCU,Alonso Ramirez,8/17/06,2006,10:26,10:34,0:08,2,1,28,28,La Plana/Las Cuevas,"La Plana/Las Cuevas, Isla Natividad Baja California Sur",1,52.8,16,56.1,17,56.1,17,,,27.84552,-115.16577,,,5,1,3,2,3,1,4,4,2,0,6,0,2,0,1,1,0,0,0,0,10,10,10,60
INLAPL-170806-AR-2-29-PCU,Alonso Ramirez,8/17/06,2006,12:42,12:51,0:09,2,2,29,29,La Plana/Las Cuevas,"La Plana/Las Cuevas, Isla Natividad Baja California Sur",1,24.42,7.4,21.45,6.5,24.42,7.4,,,27.84822,-115.17097,,,5,0,2,3,5,0,2,6,2,0,2,0,0,0,1,7,0,0,0,0,10,10,10,210
INLADU-180806-AR-1-3-PCU,Alonso Ramirez,8/18/06,2006,11:00,11:07,0:07,2,1,3,3,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,40.26,12.2,49.17,14.9,49.17,14.9,,,27.84505,-115.14555,,,5,0,1,1,8,0,0,10,0,0,3,0,1,0,0,3,3,0,0,0,10,10,10,210
