codigo,observador,fecha,A–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),A,G,B,R,O,0,1,2,3,N,C,OC,V,R,CO,L,IS,IM,G,RO,Total sustrato,Total relieve,Total Cobertura,direcci—n,Pasto
INPUPI-310713-EL-1-1-PCU,Elba Lopez,7/31/13,2013,11:15,11:27,0:12,2,1,1,1,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,37.29,11.3,38.94,11.8,38.94,11.8,38.12,11.55,27.88845,-115.19221,64.4,18,6,9,5,5,11,0,4,23,3,0,10,1,0,0,1,10,8,0,0,0,0,30,30,30,330,
INPUPI-310713-EL-2-2-PCU,Elba Lopez,7/31/13,2013,1:48,1:57,0:09,2,2,2,2,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,30.69,9.3,37.29,11.3,37.29,11.3,33.99,10.3,27.88853,-115.19287,59,15,6,5,6,5,14,0,4,26,0,0,2,2,1,0,2,10,11,0,2,0,0,30,30,30,300,
INPUPI-310713-EA-1-3-PCU,Esmeralda Alba–ez,7/31/13,2013,1:32,1:49,0:17,2,1,3,3,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,32.34,9.8,32.34,9.8,32.34,9.8,32.34,9.8,27.88853,-115.19287,64.4,18,6,21,2,7,0,0,8,22,0,0,8,0,1,0,0,12,2,0,0,0,0,30,30,30,280,7
INPUPI-310713-ML-1-4-PCU,Mitzi Leal,7/31/13,2013,1:42,1:54,0:12,2,1,4,4,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,31.02,9.4,28.71,8.7,31.02,9.4,29.87,9.05,27.88853,-115.19287,64.4,18,6,10,13,4,3,0,12,18,0,0,0,1,1,5,0,3,7,0,1,12,0,30,30,30,120,
INPUPI-310713-AM-1-5-PCU,Alonso Murillo,7/31/13,2013,10:37,10:44,0:07,2,1,5,5,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,46.20,14,46.20,14,46.20,14,46.20,14,27.89078,-115.19325,64.4,18,14,10,2,0,18,0,12,18,0,0,10,0,0,0,0,6,11,1,0,0,0,30,30,30,300,2
INPUPI-310713-AM-2-6-PCU,Alonso Murillo,7/31/13,2013,1:14,1:22,0:08,2,2,6,6,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,49.50,15,49.50,15,49.50,15,49.50,15,27.89066,-115.19325,64.4,18,10,9,0,6,15,0,10,20,0,0,9,0,3,0,0,12,4,1,0,0,0,30,30,30,240,1
INPUPI-310713-AZ-1-7-PCU,Alberto Zu–iga,7/31/13,2013,10:19,10:26,0:07,2,1,7,7,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,43.56,13.2,42.90,13,43.56,13.2,43.23,13.1,27.89078,-115.19325,64.4,18,14,3,4,7,16,0,8,20,2,0,3,2,10,0,1,8,5,1,0,0,0,30,30,30,N/A,
INPUPI-310713-AZ-2-8-PCU,Alberto Zu–iga,7/31/13,2013,1:19,1:25,0:06,2,2,8,8,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,45.87,13.9,48.18,14.6,48.18,14.6,47.03,14.25,27.89066,-115.19325,64.4,18,10,3,8,3,16,0,11,14,5,0,7,0,6,0,4,3,7,2,0,1,0,30,30,30,N/A,
INPUPI-310713-JC-1-9-PCU,Jhonatan Castro,7/31/13,2013,10:21,10:27,0:06,2,1,9,9,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,57.75,17.5,56.76,17.2,57.75,17.5,57.26,17.35,27.89072,-115.18828,66.2,19,8,2,7,3,18,0,9,20,1,0,1,0,0,0,2,14,8,0,0,0,5,30,30,30,300,
INPUPI-310713-JC-2-10-PCU,Jhonatan Castro,7/31/13,2013,1:23,1:29,0:06,2,2,10,10,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,74.25,22.5,72.93,22.1,74.25,22.5,73.59,22.3,27.89254,-115.18694,66.2,19,7,2,9,2,17,0,4,20,6,0,0,0,11,0,4,3,5,1,0,0,6,30,30,30,330,
