codigo,observador,fecha,a–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),Longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),especie,abundancia total,Distancia,Direccion,Abundancia  NO extrapolada,Observaciones
INREBA-210806-AM-1-1-DI,Abraham Mayoral,8/21/06,2006,11:53,12:11,0:18,2,1,1,1,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,59.4,18,56.43,17.1,59.4,18,58,17.55,27.85768,-115.19135,57.2,14,8,Haliotis corrugata,4,n/a,n/d,,
INREBA-210806-AM-1-1-DI,Abraham Mayoral,8/21/06,2006,11:53,12:11,0:18,2,1,1,1,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,59.4,18,56.43,17.1,59.4,18,58,17.55,27.85768,-115.19135,57.2,14,8,Panulirus interruptus,2,n/a,n/d,,
INREBA-210806-AM-1-1-DI,Abraham Mayoral,8/21/06,2006,11:53,12:11,0:18,2,1,1,1,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,59.4,18,56.43,17.1,59.4,18,58,17.55,27.85768,-115.19135,57.2,14,8,Parastichopus parvimensis,1,n/a,n/d,,
INREBA-210806-AM-1-1-DI,Abraham Mayoral,8/21/06,2006,11:53,12:11,0:18,2,1,1,1,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,59.4,18,56.43,17.1,59.4,18,58,17.55,27.85768,-115.19135,57.2,14,8,Megastraea undosa,4,n/a,n/d,,
INREBA-210806-AM-1-1-DI,Abraham Mayoral,8/21/06,2006,11:53,12:11,0:18,2,1,1,1,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,59.4,18,56.43,17.1,59.4,18,58,17.55,27.85768,-115.19135,57.2,14,8,Megathura crenulata,2,n/a,n/d,,
INREBA-210806-AM-1-1-DI,Abraham Mayoral,8/21/06,2006,11:53,12:11,0:18,2,1,1,1,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,59.4,18,56.43,17.1,59.4,18,58,17.55,27.85768,-115.19135,57.2,14,8,Strongylocentrotus franciscanus,3,n/a,n/d,,
INREBA-210806-AM-1-1-DI,Abraham Mayoral,8/21/06,2006,11:53,12:11,0:18,2,1,1,1,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,59.4,18,56.43,17.1,59.4,18,58,17.55,27.85768,-115.19135,57.2,14,8,Strongylocentrotus purpuratus,1,n/a,n/d,,
INREBA-210806-AR-1-2-DI,Alonso Ramirez,8/21/06,2006,11:51,11:59,0:08,2,1,2,2,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,59.73,18.1,59.73,18.1,59.73,18.1,60,18.1,27.85768,-115.19135,57.2,14,8,Haliotis corrugata,14,n/a,30,,
INREBA-210806-AR-1-2-DI,Alonso Ramirez,8/21/06,2006,11:51,11:59,0:08,2,1,2,2,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,59.73,18.1,59.73,18.1,59.73,18.1,60,18.1,27.85768,-115.19135,57.2,14,8,Parastichopus parvimensis,8,n/a,30,,
INREBA-210806-AR-1-2-DI,Alonso Ramirez,8/21/06,2006,11:51,11:59,0:08,2,1,2,2,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,59.73,18.1,59.73,18.1,59.73,18.1,60,18.1,27.85768,-115.19135,57.2,14,8,Megastraea undosa,8,n/a,30,,
