"Observer","Date","Month","Day","Year","TimeInitial","TimeFinal","DiveSample","Location","Site","Zone","Country","DepthInitial","DepthFinal","DepthMax","Latitude","Longitude","Temperature","Visibility","Genusspecies","PatchNumber","Length","Abundance","MinIntoDiveAbFound","newdate"
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,6,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,6,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,7,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,8,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,8,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,8,1,NA,0006-08-18
"RobertoVazquez","8/18/06",8,18,2006,"10:35","11:28",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.6,12.6,"27.84505",-115.14556,NA,NA,"Haliotiscorrugata",NA,8,1,NA,0006-08-18
