"Observer","Date","Month","Day","Year","TimeInitial","TimeFinal","TransectNumber","Location","Site","Zone","Country","DepthInitial","DepthFinal","DepthMax","MidTransDepth","Latitude","Longitude","Temperature","Visibility","Genusspecies","Abundance","Distance","newdate"
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Haliotiscorrugata",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Haliotisfulgens",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Haliotisassimilis",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Haliotissorenseni",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Haliotiscracherodii",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Haliotisrufescens",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Haliotisspp",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Panulirusinterruptus",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Parastichopusparvimensis",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Pisastergiganteus",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Sunstarspp",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Megastraeaundosa",6,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Megastraeaturbanica",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Kelletiakelletii",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Megathuracrenulata",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Crassedomagiganteum",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Gorgonianspp",1,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Lophogorgiachilensis",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Strongylocentrotusfranciscanus",0,NA,2013-07-31
"ElbaLopez","7/31/13",7,31,2013,"11:04","11:10",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",11.3,11.8,11.8,11.55,"27.88845",-115.19221,18,6,"Strongylocentrotuspurpuratus",0,NA,2013-07-31
