"Observer","Date","Month","Day","Year","TimeInitial","TimeFinal","TransectNumber","Location","Site","Zone","Country","DepthInitial","DepthFinal","DepthMax","Latitude","Longitude","Temperature","Visibility","SandSiltClay","Cobble","Boulder","Bedrock","Other","ReliefOne","ReliefTwo","ReliefThree","ReliefFour","NoOrg","BrownAlgae","OtherBrownAlgae","GreenAlgae","RedAlgae","ArticulatedCoralline","CrustoseCoralline","SessileInvertebrate","MobileInvertebrate","Gellidium","Seagrass","newdate"
"AbrahamMayoral","8/17/06",8,17,2006,"10:34","10:45",26,"LaPlana","IslaNatividad","Reserve","Mexico",16.7,15.8,16.7,27.84552,-115.16577,NA,5,1,1,2,6,0,1,4,0,5,1,1,0,0,1,2,4,1,NA,0,0,0006-08-17
"AbrahamMayoral","8/17/06",8,17,2006,"12:47","12:54",27,"LaPlana","IslaNatividad","Reserve","Mexico",7.6,7.4,7.4,27.84822,-115.17097,NA,5,3,1,1,5,0,0,10,0,0,3,0,1,0,0,3,3,0,NA,0,0,0006-08-17
"AbrahamMayoral","8/18/06",8,18,2006,"11:07","11:15",1,"LaDulce","IslaNatividad","Fished","Mexico",12.6,12.1,12.6,27.84505,-115.14555,NA,5,1,1,1,7,0,0,7,3,0,1,0,1,0,0,1,7,0,NA,0,0,0006-08-18
"AbrahamMayoral","8/18/06",8,18,2006,"13:30","13:39",2,"LaDulce","IslaNatividad","Fished","Mexico",11.7,12.4,12.4,27.8439,-115.14488,NA,5,0,3,0,7,0,2,6,2,0,0,1,0,0,1,1,6,1,NA,0,0,0006-08-18
"AbrahamMayoral","8/19/06",8,19,2006,"11:16","11:23",1,"PuntaPrieta","IslaNatividad","Reserve","Mexico",15.9,18.6,18.6,27.89218,-115.19066,14,8,4,4,0,2,0,3,6,1,0,0,0,6,0,0,0,4,0,NA,0,0,0006-08-19
"AbrahamMayoral","8/19/06",8,19,2006,"13:49","13:59",2,"PuntaPrieta","IslaNatividad","Reserve","Mexico",8.6,10.8,10.8,27.88836,-115.19248,17,8,0,2,0,8,0,0,3,7,0,0,0,0,1,2,4,3,0,NA,0,0,0006-08-19
"AbrahamMayoral","8/21/06",8,21,2006,"12:11","12:23",1,"Babencho","IslaNatividad","Fished","Mexico",17.1,18,18,27.85768,-115.19135,13,8,1,8,12,9,0,11,16,3,0,0,1,3,0,12,3,11,0,NA,0,0,0006-08-21
"AbrahamMayoral","8/22/06",8,22,2006,"11:53","12:01",7,"LaDulce","IslaNatividad","Fished","Mexico",9.3,7.6,9.3,27.84262,-115.14275,18,15,0,1,1,8,0,0,8,2,0,0,1,0,0,2,4,2,0,NA,1,0,0006-08-22
"AbrahamMayoral","8/22/06",8,22,2006,"13:56","14:06",8,"LaDulce","IslaNatividad","Fished","Mexico",6.3,7.2,7.2,27.8417,-115.14218,18,15,0,1,0,9,0,0,2,5,3,0,1,0,4,0,1,2,0,NA,2,0,0006-08-22
"AbrahamMayoral","8/23/06",8,23,2006,"11:18","11:24",6,"Babencho","IslaNatividad","Fished","Mexico",14.7,14,14.7,27.86075,-115.18935,15,5,2,3,1,4,0,3,7,0,0,2,0,0,0,1,3,3,0,NA,1,0,0006-08-23
"AbrahamMayoral","8/23/06",8,23,2006,"12:49","12:59",7,"Babencho","IslaNatividad","Fished","Mexico",7.1,10.4,10.4,27.86467,-115.18575,15,5,2,0,0,8,0,1,2,2,5,5,1,0,0,0,2,1,0,NA,1,0,0006-08-23
"AbrahamMayoral","8/25/06",8,25,2006,"11:38","11:45",7,"PuntaPrieta","IslaNatividad","Reserve","Mexico",13.9,13.1,13.9,27.89141,-115.19245,17,6,4,0,0,6,0,5,5,0,0,3,0,0,0,2,4,1,0,NA,0,0,0006-08-25
"AbrahamMayoral","8/25/06",8,25,2006,"13:40","13:49",8,"PuntaPrieta","IslaNatividad","Reserve","Mexico",6.7,8,8,27.88798,-115.19468,18,4,0,1,0,9,0,0,7,3,0,0,0,2,2,3,2,1,0,NA,0,0,0006-08-25
"AlonsoRamirez","8/17/06",8,17,2006,"10:26","10:34",28,"LaPlana","IslaNatividad","Reserve","Mexico",16,17,17,27.84552,-115.16577,NA,5,1,3,2,3,1,4,4,2,0,6,0,2,0,1,1,0,0,NA,0,0,0006-08-17
"AlonsoRamirez","8/17/06",8,17,2006,"12:42","12:51",29,"LaPlana","IslaNatividad","Reserve","Mexico",7.4,6.5,7.4,27.84822,-115.17097,NA,5,0,2,3,5,0,2,6,2,0,2,0,0,0,1,7,0,0,NA,0,0,0006-08-17
"AlonsoRamirez","8/18/06",8,18,2006,"11:00","11:07",3,"LaDulce","IslaNatividad","Fished","Mexico",12.2,14.9,14.9,27.84505,-115.14555,NA,5,0,1,1,8,0,0,10,0,0,3,0,1,0,0,3,3,0,NA,0,0,0006-08-18
"AlonsoRamirez","8/18/06",8,18,2006,"13:30","13:38",4,"LaDulce","IslaNatividad","Fished","Mexico",13,12.7,12.7,27.84425,-115.14448,NA,5,1,1,0,7,1,1,8,1,0,3,0,0,0,0,4,2,1,NA,0,0,0006-08-18
"AlonsoRamirez","8/19/06",8,19,2006,"11:07","11:17",3,"PuntaPrieta","IslaNatividad","Reserve","Mexico",16.4,17.7,17.7,27.89218,-115.19067,14,8,1,3,0,5,1,3,4,3,0,5,0,0,0,1,2,1,1,NA,0,0,0006-08-19
"AlonsoRamirez","8/19/06",8,19,2006,"13:36","13:42",4,"PuntaPrieta","IslaNatividad","Reserve","Mexico",8.8,10.1,10.1,27.88837,-115.19248,17,8,1,0,2,7,0,3,5,2,0,1,0,0,0,0,7,2,0,NA,0,0,0006-08-19
"AlonsoRamirez","8/21/06",8,21,2006,"11:59","12:06",2,"Babencho","IslaNatividad","Fished","Mexico",16.2,18.2,18.2,27.85768,-115.19135,14,8,0,0,3,7,0,0,10,0,0,2,0,1,0,0,4,3,0,NA,0,0,0006-08-21
"AlonsoRamirez","8/21/06",8,21,2006,"14:12","14:18",3,"Babencho","IslaNatividad","Fished","Mexico",13.2,13.4,13.4,27.86332,-115.18625,14,8,1,1,3,5,0,1,7,2,0,5,0,0,0,2,0,3,0,NA,0,0,0006-08-21
"AlonsoRamirez","8/22/06",8,22,2006,"11:48","11:55",9,"LaDulce","IslaNatividad","Fished","Mexico",7.5,8.3,8.3,27.84262,-115.14275,18,15,1,0,0,9,0,1,9,0,0,1,0,0,2,0,5,1,1,NA,0,0,0006-08-22
"AlonsoRamirez","8/22/06",8,22,2006,"13:46","13:52",10,"LaDulce","IslaNatividad","Fished","Mexico",7.1,6.9,7.1,27.84372,-115.14115,18,15,2,0,0,8,0,0,10,0,0,2,0,0,3,0,4,0,1,NA,0,0,0006-08-22
"AlonsoRamirez","8/23/06",8,23,2006,"11:14","11:19",8,"Babencho","IslaNatividad","Fished","Mexico",14.1,14.4,14.4,27.86075,-115.18935,15,5,0,2,1,7,0,1,7,2,0,2,0,0,0,2,1,2,1,NA,2,0,0006-08-23
"AlonsoRamirez","8/23/06",8,23,2006,"12:42","12:48",9,"Babencho","IslaNatividad","Fished","Mexico",8.8,9.4,9.4,27.86467,-115.18575,16,5,0,0,0,10,0,0,6,4,0,2,0,0,0,4,1,0,1,NA,2,0,0006-08-23
"AlonsoRamirez","8/25/06",8,25,2006,"11:31","11:36",9,"PuntaPrieta","IslaNatividad","Reserve","Mexico",13.8,13.7,13.8,27.89142,-115.19245,17,6,4,2,0,4,0,5,5,0,0,5,0,1,0,0,2,1,1,NA,0,0,0006-08-25
"AlonsoRamirez","8/25/06",8,25,2006,"13:33","13:39",10,"PuntaPrieta","IslaNatividad","Reserve","Mexico",6.6,8.8,8.8,27.88798,-115.19468,18,6,1,2,0,7,0,0,10,0,0,2,0,0,0,4,2,1,0,NA,1,0,0006-08-25
"AlonsoGrosso","8/17/06",8,17,2006,"10:22","10:33",30,"LaPlana","IslaNatividad","Reserve","Mexico",15,15.8,15.8,27.84552,-115.16576,NA,5,0,5,4,1,0,6,2,2,0,5,0,0,0,1,4,0,0,NA,0,0,0006-08-17
"AlonsoGrosso","8/17/06",8,17,2006,"12:32","12:41",31,"LaPlana","IslaNatividad","Reserve","Mexico",6.8,7.2,7.2,27.84821,-115.17097,NA,5,1,1,8,0,0,1,4,5,0,0,6,0,0,0,4,0,0,NA,0,0,0006-08-17
"AlonsoGrosso","8/18/06",8,18,2006,"10:44","10:50",5,"LaDulce","IslaNatividad","Fished","Mexico",13.8,14.9,14.9,27.84505,-115.14555,NA,5,0,2,8,0,0,2,8,0,0,3,0,0,0,0,7,0,0,NA,0,0,0006-08-18
"AlonsoGrosso","8/18/06",8,18,2006,"13:13","13:20",6,"LaDulce","IslaNatividad","Fished","Mexico",12.8,11.2,12.8,27.84492,-115.14317,NA,5,0,0,10,0,0,2,8,0,0,0,0,0,0,0,10,0,0,NA,0,0,0006-08-18
"AlonsoGrosso","8/19/06",8,19,2006,"10:57","11:04",5,"PuntaPrieta","IslaNatividad","Reserve","Mexico",17.1,17.7,17.7,27.89153,-115.18992,14,8,2,6,2,0,0,4,6,0,0,2,0,0,0,0,3,3,2,NA,0,0,0006-08-19
"AlonsoGrosso","8/19/06",8,19,2006,"13:36","13:43",6,"PuntaPrieta","IslaNatividad","Reserve","Mexico",12.5,10,12.5,27.88889,-115.19347,15,8,3,1,6,0,0,3,7,0,0,1,3,0,2,2,2,0,0,NA,0,0,0006-08-19
